Index	Plasmid Number	Plasmid backbone	Plasmid Name	Insert Name	Gene Name	Notes
680	pTH14256	pTH6838	GST.HSFX2.FL	HSFX2.FL	HSFX2	Codebook clone
726	pTH14302	pTH6838	GST.GLMP.FL	GLMP.FL	GLMP	Codebook clone
669	pTH14245	pTH6838	GST.MKX.DBD	MKX.DBD	MKX	Codebook clone
670	pTH14246	pTH6838	GST.NANOGNB.FL	NANOGNB.FL	NANOGNB	Codebook clone
672	pTH14248	pTH6838	GST.TPRX1.DBD	TPRX1.DBD	TPRX1	Codebook clone
681	pTH14257	pTH6838	GST.HSFX2.DBD	HSFX2.DBD	HSFX2	Codebook clone
683	pTH14259	pTH6838	GST.MSANTD1.DBD	MSANTD1.DBD	MSANTD1	Codebook clone
695	pTH14271	pTH6838	GST.DMTF1.DBD	DMTF1.DBD	DMTF1	Codebook clone
696	pTH14272	pTH6838	GST.MSANTD4.FL	MSANTD4.FL	MSANTD4	Codebook clone
698	pTH14274	pTH6838	GST.MYPOP.DBD	MYPOP.DBD	MYPOP	Codebook clone
699	pTH14275	pTH6838	GST.MYSM1.DBD	MYSM1.DBD	MYSM1	Codebook clone
700	pTH14276	pTH6838	GST.TERB1.DBD	TERB1.DBD	TERB1	Codebook clone
703	pTH14279	pTH6838	GST.TTF1.DBD	TTF1.DBD	TTF1	Codebook clone
707	pTH14283	pTH6838	GST.AEBP1.DBD	AEBP1.DBD	AEBP1	Codebook clone
708	pTH14284	pTH6838	GST.ARHGAP35.DBD	ARHGAP35.DBD	ARHGAP35	Codebook clone
709	pTH14285	pTH6838	GST.BRF2.FL	BRF2.FL	BRF2	Codebook clone
711	pTH14287	pTH6838	GST.CENPS.FL	CENPS.FL	CENPS	Codebook clone
715	pTH14291	pTH6838	GST.CHCHD3.FL	CHCHD3.FL	CHCHD3	Codebook clone
351	pTH13927	pTH6838	GST.FAM200B.DBD	FAM200B.DBD	FAM200B	Codebook clone
352	pTH13928	pTH6838	GST.SGSM2.DBD	SGSM2.DBD	SGSM2	Codebook clone
353	pTH13929	pTH6838	GST.ZBED2.FL	ZBED2.FL	ZBED2	Codebook clone
354	pTH13930	pTH6838	GST.ZBED3.FL	ZBED3.FL	ZBED3	Codebook clone
356	pTH13932	pTH6838	GST.ZBED5.DBD	ZBED5.DBD	ZBED5	Codebook clone
357	pTH13933	pTH6838	GST.ZBED9.DBD	ZBED9.DBD	ZBED9	Codebook clone
365	pTH13941	pTH6838	GST.POGK.DBD	POGK.DBD	POGK	Codebook clone
634	pTH14210	pTH6838	GST.JRK.DBD	JRK.DBD	JRK	Codebook clone
636	pTH14212	pTH6838	GST.TIGD3.DBD	TIGD3.DBD	TIGD3	Codebook clone
638	pTH14214	pTH6838	GST.TIGD4.DBD	TIGD4.DBD	TIGD4	Codebook clone
641	pTH14217	pTH6838	GST.TIGD7.DBD	TIGD7.DBD	TIGD7	Codebook clone
656	pTH14232	pTH6838	GST.ZGLP1.DBD	ZGLP1.DBD	ZGLP1	Codebook clone
662	pTH14238	pTH6838	GST.HMGN3.FL	HMGN3.FL	HMGN3	Codebook clone
724	pTH14300	pTH6838	GST.DR1.FL	DR1.FL	DR1	Codebook clone
728	pTH14304	pTH6838	GST.GPBP1.DBD	GPBP1.DBD	GPBP1	Codebook clone
729	pTH14305	pTH6838	GST.GPBP1L1.FL	GPBP1L1.FL	GPBP1L1	Codebook clone
730	pTH14306	pTH6838	GST.KCNIP3.FL	KCNIP3.FL	KCNIP3	Codebook clone
732	pTH14308	pTH6838	GST.NACC2.DBD	NACC2.DBD	NACC2	Codebook clone
733	pTH14309	pTH6838	GST.NKRF.DBD	NKRF.DBD	NKRF	Codebook clone
735	pTH14311	pTH6838	GST.PA2G4.FL	PA2G4.FL	PA2G4	Codebook clone
736	pTH14312	pTH6838	GST.PCGF2.FL	PCGF2.FL	PCGF2	Codebook clone
737	pTH14313	pTH6838	GST.PCGF6.FL	PCGF6.FL	PCGF6	Codebook clone
740	pTH14316	pTH6838	GST.PLSCR1.FL	PLSCR1.FL	PLSCR1	Codebook clone
742	pTH14318	pTH6838	GST.PREB.DBD	PREB.DBD	PREB	Codebook clone
744	pTH14320	pTH6838	GST.PURG.FL	PURG.FL	PURG	Codebook clone
745	pTH14321	pTH6838	GST.RAG1.DBD	RAG1.DBD	RAG1	Codebook clone
748	pTH14324	pTH6838	GST.SAFB.DBD	SAFB.DBD	SAFB	Codebook clone
749	pTH14325	pTH6838	GST.SAFB2.DBD	SAFB2.DBD	SAFB2	Codebook clone
750	pTH14326	pTH6838	GST.SCMH1.DBD	SCMH1.DBD	SCMH1	Codebook clone
752	pTH14328	pTH6838	GST.SNAPC2.FL	SNAPC2.FL	SNAPC2	Codebook clone
754	pTH14330	pTH6838	GST.TCF20.DBD	TCF20.DBD	TCF20	Codebook clone
755	pTH14331	pTH6838	GST.TET2.DBDwLinker	TET2.DBDwLinker	TET2	Codebook clone
756	pTH14332	pTH6838	GST.THYN1.FL	THYN1.FL	THYN1	Codebook clone
757	pTH14333	pTH6838	GST.TMF1.DBD	TMF1.DBD	TMF1	Codebook clone
761	pTH14337	pTH6838	GST.SP110.DBD	SP110.DBD	SP110	Codebook clone
764	pTH14340	pTH6838	GST.SP140L.DBD	SP140L.DBD	SP140L	Codebook clone
727	pTH14303	pTH6838	GST.GPBP1.FL	GPBP1.FL	GPBP1	Codebook clone
738	pTH14314	pTH6838	GST.PHF19.FL	PHF19.FL	PHF19	Codebook clone
739	pTH14315	pTH6838	GST.PHF19.DBD	PHF19.DBD	PHF19	Codebook clone
741	pTH14317	pTH6838	GST.PREB.FL	PREB.FL	PREB	Codebook clone
335	pTH13911	pTH6838	GST.KDM5B.DBD	KDM5B.DBD	KDM5B	Codebook clone
336	pTH13912	pTH6838	GST.ARID2.DBD	ARID2.DBD	ARID2	Codebook clone
339	pTH13915	pTH6838	GST.AKNA.DBD.2	AKNA.DBD.2	AKNA	Codebook clone
344	pTH13920	pTH6838	GST.PHF21A.DBD	PHF21A.DBD	PHF21A	Codebook clone
346	pTH13922	pTH6838	GST.SCML4.DBD	SCML4.DBD	SCML4	Codebook clone
347	pTH13923	pTH6838	GST.SETBP1.DBD.1	SETBP1.DBD.1	SETBP1	Codebook clone
348	pTH13924	pTH6838	GST.SETBP1.DBD.2	SETBP1.DBD.2	SETBP1	Codebook clone
349	pTH13925	pTH6838	GST.SETBP1.DBD.3	SETBP1.DBD.3	SETBP1	Codebook clone
350	pTH13926	pTH6838	GST.C11orf95.FL	C11orf95.FL	ZFTA	Codebook clone
355	pTH13931	pTH6838	GST.ZBED4.DBD	ZBED4.DBD	ZBED4	Codebook clone
359	pTH13935	pTH6838	GST.NCOA1.DBD	NCOA1.DBD	NCOA1	Codebook clone
360	pTH13936	pTH6838	GST.NCOA2.DBD	NCOA2.DBD	NCOA2	Codebook clone
361	pTH13937	pTH6838	GST.NCOA3.DBD	NCOA3.DBD	NCOA3	Codebook clone
362	pTH13938	pTH6838	GST.SOHLH1.FL	SOHLH1.FL	SOHLH1	Codebook clone
363	pTH13939	pTH6838	GST.SOHLH1.DBD	SOHLH1.DBD	SOHLH1	Codebook clone
364	pTH13940	pTH6838	GST.USF3.DBD	USF3.DBD	USF3	Codebook clone
673	pTH14249	pTH6838	GST.ZHX2.DBD.1	ZHX2.DBD.1	ZHX2	Codebook clone
674	pTH14250	pTH6838	GST.ZHX2.DBD.2	ZHX2.DBD.2	ZHX2	Codebook clone
675	pTH14251	pTH6838	GST.ZHX3.DBD.1	ZHX3.DBD.1	ZHX3	Codebook clone
676	pTH14252	pTH6838	GST.ZHX3.DBD.2	ZHX3.DBD.2	ZHX3	Codebook clone
677	pTH14253	pTH6838	GST.POU5F2.FL	POU5F2.FL	POU5F2	Codebook clone
678	pTH14254	pTH6838	GST.HSFX1.FL	HSFX1.FL	HSFX1	Codebook clone
682	pTH14258	pTH6838	GST.MSANTD1.FL	MSANTD1.FL	MSANTD1	Codebook clone
684	pTH14260	pTH6838	GST.MBD3.FL	MBD3.FL	MBD3	Codebook clone
686	pTH14262	pTH6838	GST.MBD4.DBD	MBD4.DBD	MBD4	Codebook clone
687	pTH14263	pTH6838	GST.MBD6.DBD	MBD6.DBD	MBD6	Codebook clone
688	pTH14264	pTH6838	GST.PIN1.FL	PIN1.FL	PIN1	Codebook clone
689	pTH14265	pTH6838	GST.SETDB2.DBD	SETDB2.DBD	SETDB2	Codebook clone
691	pTH14267	pTH6838	GST.MTERF2.FL	MTERF2.FL	MTERF2	Codebook clone
693	pTH14269	pTH6838	GST.MTERF3.DBD	MTERF3.DBD	MTERF3	Codebook clone
694	pTH14270	pTH6838	GST.MTERF4.FL	MTERF4.FL	MTERF4	Codebook clone
697	pTH14273	pTH6838	GST.MYPOP.FL	MYPOP.FL	MYPOP	Codebook clone
701	pTH14277	pTH6838	GST.TERF1.FL	TERF1.FL	TERF1	Codebook clone
702	pTH14278	pTH6838	GST.TERF1.DBD	TERF1.DBD	TERF1	Codebook clone
704	pTH14280	pTH6838	GST.MYRFL.DBD	MYRFL.DBD	MYRFL	Codebook clone
705	pTH14281	pTH6838	GST.NFX1.DBD	NFX1.DBD	NFX1	Codebook clone
706	pTH14282	pTH6838	GST.NFXL1.DBD	NFXL1.DBD	NFXL1	Codebook clone
758	pTH14334	pTH6838	GST.RFX8.FL	RFX8.FL	RFX8	Codebook clone
759	pTH14335	pTH6838	GST.RFX8.DBD	RFX8.DBD	RFX8	Codebook clone
763	pTH14339	pTH6838	GST.SP140L.FL	SP140L.FL	SP140L	Codebook clone
765	pTH14341	pTH6838	GST.TBPL1.FL	TBPL1.FL	TBPL1	Codebook clone
766	pTH14342	pTH6838	GST.THAP10.FL	THAP10.FL	THAP10	Codebook clone
767	pTH14343	pTH6838	GST.THAP10.DBD	THAP10.DBD	THAP10	Codebook clone
768	pTH14344	pTH6838	GST.THAP11.FL	THAP11.FL	THAP11	Codebook clone
769	pTH14345	pTH6838	GST.THAP11.DBD	THAP11.DBD	THAP11	Codebook clone
770	pTH14346	pTH6838	GST.THAP2.FL	THAP2.FL	THAP2	Codebook clone
771	pTH14347	pTH6838	GST.THAP4.FL	THAP4.FL	THAP4	Codebook clone
772	pTH14348	pTH6838	GST.THAP4.DBD	THAP4.DBD	THAP4	Codebook clone
628	pTH14204	pTH6838	GST.MBNL2.FL	MBNL2.FL	MBNL2	Codebook clone
631	pTH14207	pTH6838	GST.ZGPAT.FL	ZGPAT.FL	ZGPAT	Codebook clone
632	pTH14208	pTH6838	GST.ZGPAT.DBD	ZGPAT.DBD	ZGPAT	Codebook clone
637	pTH14213	pTH6838	GST.TIGD4.FL	TIGD4.FL	TIGD4	Codebook clone
640	pTH14216	pTH6838	GST.TIGD7.FL	TIGD7.FL	TIGD7	Codebook clone
644	pTH14220	pTH6838	GST.CXXC4.FL	CXXC4.FL	CXXC4	Codebook clone
646	pTH14222	pTH6838	GST.FBXL19.DBD	FBXL19.DBD	FBXL19	Codebook clone
647	pTH14223	pTH6838	GST.KDM2A.DBD	KDM2A.DBD	KDM2A	Codebook clone
648	pTH14224	pTH6838	GST.TET3.DBD	TET3.DBD	TET3	Codebook clone
655	pTH14231	pTH6838	GST.ZGLP1.FL	ZGLP1.FL	ZGLP1	Codebook clone
659	pTH14235	pTH6838	GST.GTF2IRD2B.DBD	GTF2IRD2B.DBD	GTF2IRD2B	Codebook clone
668	pTH14244	pTH6838	GST.MKX.FL	MKX.FL	MKX	Codebook clone
671	pTH14247	pTH6838	GST.TPRX1.FL	TPRX1.FL	TPRX1	Codebook clone
773	pTH14349	pTH6838	GST.THAP5.FL	THAP5.FL	THAP5	Codebook clone
774	pTH14350	pTH6838	GST.THAP5.DBD	THAP5.DBD	THAP5	Codebook clone
775	pTH14351	pTH6838	GST.THAP6.FL	THAP6.FL	THAP6	Codebook clone
776	pTH14352	pTH6838	GST.THAP7.FL	THAP7.FL	THAP7	Codebook clone
777	pTH14353	pTH6838	GST.THAP7.DBD	THAP7.DBD	THAP7	Codebook clone
778	pTH14354	pTH6838	GST.THAP8.FL	THAP8.FL	THAP8	Codebook clone
779	pTH14355	pTH6838	GST.THAP8.DBD	THAP8.DBD	THAP8	Codebook clone
780	pTH14356	pTH6838	GST.THAP9.DBD	THAP9.DBD	THAP9	Codebook clone
781	pTH15518	pTH6838	GST.MAX	MAX	MAX	Smile-seq control
782	pTH15519	pTH6838	GST.SRY	SRY	SRY	Smile-seq control
783	pTH15520	pTH6838	GST.SOX15	SOX15	SOX15	Smile-seq control
794	pTH15525	pTH6838	GST.ZSCAN4	ZSCAN4	ZSCAN4	Smile-seq control
799	pTH15526	pTH6838	GST.RXRA	RXRA	RXRA	Smile-seq control
788	pTH15523	pTH6838	GST.JUNB	JUNB	JUNB	Smile-seq control
789	pTH15524	pTH6838	GST.POU5F1	POU5F1	POU5F1	Smile-seq control
786	pTH15530	pTH6838	GST.FOSL2	FOSL2	FOSL2	Smile-seq control
790	pTH15531	pTH6838	GST.LHX6	LHX6	LHX6	Smile-seq control
791	pTH15532	pTH6838	GST.LEF1	LEF1	LEF1	Smile-seq control
793	pTH15533	pTH6838	GST.VDR	VDR	VDR	Smile-seq control
796	pTH15534	pTH6838	GST.FLI1	FLI1	FLI1	Smile-seq control
797	pTH15535	pTH6838	GST.GABPA	GABPA	GABPA	Smile-seq control
798	pTH15536	pTH6838	GST.RORB	RORB	RORB	Smile-seq control
800	pTH15537	pTH6838	GST.RARA	RARA	RARA	Smile-seq control
801	pTH15538	pTH6838	GST.NR1H4	NR1H4	NR1H4	Smile-seq control
802	pTH15539	pTH6838	GST.PAX7	PAX7	PAX7	Smile-seq control
787	pTH15540	pTH6838	GST.cJUN	cJUN	JUN	Smile-seq control
792	pTH15541	pTH6838	GST.YY1	YY1	YY1	Smile-seq control
795	pTH15542	pTH6838	GST.GCM1	GCM1	GCM1	Smile-seq control
803	pTH15544	pTH6838	GST.NR4A2	NR4A2	NR4A2	Smile-seq control
784	pTH15521	pTH6838	GST.MYF6	MYF6	MYF6	Smile-seq control
785	pTH15522	pTH6838	GST.SOX2	SOX2	SOX2	Smile-seq control
804	pTH15561	pTH6838	GST.SOX5	SOX5	SOX5	Smile-seq control
805	pTH15569	pTH6838	GST.CTCF	CTCF	CTCF	Smile-seq control
806	pTH15573	pTH6838	GST.NFKB1	NFKB1	NFKB1	Smile-seq control
734	pTH14310	pTH6838	GST.NME2.FL	NME2.FL	NME2	Codebook clone
630	pTH14206	pTH6838	GST.ZC3H8.DBD	ZC3H8.DBD	ZC3H8	Codebook clone
343	pTH13919	pTH6838	GST.GLYR1.DBD	GLYR1.DBD	GLYR1	Codebook clone
667	pTH14243	pTH6838	GST.LEUTX.FL	LEUTX.FL	LEUTX	Codebook clone
743	pTH14319	pTH6838	GST.PURB.FL	PURB.FL	PURB	Codebook clone
751	pTH14327	pTH6838	GST.SMYD3.FL	SMYD3.FL	SMYD3	Codebook clone
760	pTH14336	pTH6838	GST.SP100.DBD	SP100.DBD	SP100	Codebook clone
762	pTH14338	pTH6838	GST.SP140.DBD	SP140.DBD	SP140	Codebook clone
690	pTH14266	pTH6838	GST.MBD1.DBD	MBD1.DBD	MBD1	Codebook clone
633	pTH14209	pTH6838	GST.JRK.FL	JRK.FL	JRK	Codebook clone
635	pTH14211	pTH6838	GST.TIGD3.FL	TIGD3.FL	TIGD3	Codebook clone
651	pTH14227	pTH6838	GST.FLYWCH1.FL	FLYWCH1.FL	FLYWCH1	Codebook clone
1	pTH13592	pTH13195	eGFP.DNTTIP1.FL	DNTTIP1.FL	DNTTIP1	Codebook clone
2	pTH13593	pTH13195	eGFP.GLYR1.FL	GLYR1.FL	GLYR1	Codebook clone
3	pTH13595	pTH13195	eGFP.SCML4.FL	SCML4.FL	SCML4	Codebook clone
4	pTH13597	pTH13195	eGFP.C11orf95.FL	C11orf95.FL	ZFTA	Codebook clone
5	pTH13600	pTH13195	eGFP.ZBED2.FL	ZBED2.FL	ZBED2	Codebook clone
6	pTH13601	pTH13195	eGFP.ZBED3.FL	ZBED3.FL	ZBED3	Codebook clone
7	pTH13605	pTH13195	eGFP.BHLHA9.FL	BHLHA9.FL	BHLHA9	Codebook clone
8	pTH13609	pTH13195	eGFP.SOHLH1.FL	SOHLH1.FL	SOHLH1	Codebook clone
9	pTH13612	pTH13195	eGFP.BATF2.FL	BATF2.FL	BATF2	Codebook clone
10	pTH13613	pTH13195	eGFP.CREB3L3.FL	CREB3L3.FL	CREB3L3	Codebook clone
11	pTH13614	pTH13195	eGFP.AC008770.FL	AC008770.FL	AC008770	Codebook clone
12	pTH13615	pTH13195	eGFP.AC092835.FL	AC092835.FL	AC092835	Codebook clone
13	pTH13621	pTH13195	eGFP.CCDC17.FL	CCDC17.FL	CCDC17	Codebook clone
14	pTH13623	pTH13195	eGFP.CPXCR1.FL	CPXCR1.FL	CPXCR1	Codebook clone
15	pTH13626	pTH13195	eGFP.FAM170A.FL	FAM170A.FL	FAM170A	Codebook clone
16	pTH13627	pTH13195	eGFP.FIZ1.FL	FIZ1.FL	FIZ1	Codebook clone
17	pTH13628	pTH13195	eGFP.JAZF1.FL	JAZF1.FL	JAZF1	Codebook clone
18	pTH13630	pTH13195	eGFP.KIN.FL	KIN.FL	KIN	Codebook clone
19	pTH13639	pTH13195	eGFP.PRMT3.FL	PRMT3.FL	PRMT3	Codebook clone
20	pTH13643	pTH13195	eGFP.SLC2A4RG.FL	SLC2A4RG.FL	SLC2A4RG	Codebook clone
21	pTH13644	pTH13195	eGFP.TRAFD1.FL	TRAFD1.FL	TRAFD1	Codebook clone
22	pTH13648	pTH13195	eGFP.ZBTB46.FL	ZBTB46.FL	ZBTB46	Codebook clone
23	pTH13651	pTH13195	eGFP.ZBTB8A.FL	ZBTB8A.FL	ZBTB8A	Codebook clone
24	pTH13652	pTH13195	eGFP.ZBTB8B.FL	ZBTB8B.FL	ZBTB8B	Codebook clone
25	pTH13654	pTH13195	eGFP.ZFP91.FL	ZFP91.FL	ZFP91	Codebook clone
26	pTH13657	pTH13195	eGFP.ZKSCAN4.FL	ZKSCAN4.FL	ZKSCAN4	Codebook clone
27	pTH13659	pTH13195	eGFP.ZMAT4.FL	ZMAT4.FL	ZMAT4	Codebook clone
28	pTH13662	pTH13195	eGFP.ZNF14.FL	ZNF14.FL	ZNF14	Codebook clone
29	pTH13665	pTH13195	eGFP.ZNF20.FL	ZNF20.FL	ZNF20	Codebook clone
30	pTH13668	pTH13195	eGFP.ZNF215.FL	ZNF215.FL	ZNF215	Codebook clone
31	pTH13671	pTH13195	eGFP.ZNF230.FL	ZNF230.FL	ZNF230	Codebook clone
32	pTH13673	pTH13195	eGFP.ZNF234.FL	ZNF234.FL	ZNF234	Codebook clone
33	pTH13675	pTH13195	eGFP.ZNF275.FL	ZNF275.FL	ZNF275	Codebook clone
34	pTH13676	pTH13195	eGFP.ZNF280B.FL	ZNF280B.FL	ZNF280B	Codebook clone
35	pTH13678	pTH13195	eGFP.ZNF286B.FL	ZNF286B.FL	ZNF286B	Codebook clone
36	pTH13684	pTH13195	eGFP.ZNF358.FL	ZNF358.FL	ZNF358	Codebook clone
37	pTH13685	pTH13195	eGFP.ZNF362.FL	ZNF362.FL	ZNF362	Codebook clone
38	pTH13686	pTH13195	eGFP.ZNF365.FL	ZNF365.FL	ZNF365	Codebook clone
39	pTH13688	pTH13195	eGFP.ZNF385B.FL	ZNF385B.FL	ZNF385B	Codebook clone
40	pTH13689	pTH13195	eGFP.ZNF385C.FL	ZNF385C.FL	ZNF385C	Codebook clone
41	pTH13690	pTH13195	eGFP.ZNF395.FL	ZNF395.FL	ZNF395	Codebook clone
42	pTH13692	pTH13195	eGFP.ZNF428.FL	ZNF428.FL	ZNF428	Codebook clone
43	pTH13694	pTH13195	eGFP.ZNF446.FL	ZNF446.FL	ZNF446	Codebook clone
44	pTH13698	pTH13195	eGFP.ZNF474.FL	ZNF474.FL	ZNF474	Codebook clone
45	pTH13699	pTH13195	eGFP.ZNF48.FL	ZNF48.FL	ZNF48	Codebook clone
46	pTH13701	pTH13195	eGFP.ZNF497.FL	ZNF497.FL	ZNF497	Codebook clone
47	pTH13702	pTH13195	eGFP.ZNF500.FL	ZNF500.FL	ZNF500	Codebook clone
48	pTH13714	pTH13195	eGFP.ZNF57.FL	ZNF57.FL	ZNF57	Codebook clone
49	pTH13715	pTH13195	eGFP.ZNF575.FL	ZNF575.FL	ZNF575	Codebook clone
50	pTH13716	pTH13195	eGFP.ZNF578.FL	ZNF578.FL	ZNF578	Codebook clone
51	pTH13725	pTH13195	eGFP.ZNF623.FL	ZNF623.FL	ZNF623	Codebook clone
52	pTH13727	pTH13195	eGFP.ZNF639.FL	ZNF639.FL	ZNF639	Codebook clone
53	pTH13730	pTH13195	eGFP.ZNF648.FL	ZNF648.FL	ZNF648	Codebook clone
54	pTH13732	pTH13195	eGFP.ZNF66.FL	ZNF66.FL	ZNF66	Codebook clone
55	pTH13735	pTH13195	eGFP.ZNF672.FL	ZNF672.FL	ZNF672	Codebook clone
56	pTH13736	pTH13195	eGFP.ZNF676.FL	ZNF676.FL	ZNF676	Codebook clone
57	pTH13737	pTH13195	eGFP.ZNF678.FL	ZNF678.FL	ZNF678	Codebook clone
58	pTH13738	pTH13195	eGFP.ZNF683.FL	ZNF683.FL	ZNF683	Codebook clone
59	pTH13740	pTH13195	eGFP.ZNF688.FL	ZNF688.FL	ZNF688	Codebook clone
60	pTH13741	pTH13195	eGFP.ZNF689.FL	ZNF689.FL	ZNF689	Codebook clone
61	pTH13742	pTH13195	eGFP.ZNF696.FL	ZNF696.FL	ZNF696	Codebook clone
62	pTH13744	pTH13195	eGFP.ZNF70.FL	ZNF70.FL	ZNF70	Codebook clone
63	pTH13746	pTH13195	eGFP.ZNF703.FL	ZNF703.FL	ZNF703	Codebook clone
64	pTH13747	pTH13195	eGFP.ZNF705E.FL	ZNF705E.FL	ZNF705EP	Codebook clone
65	pTH13748	pTH13195	eGFP.ZNF706.FL	ZNF706.FL	ZNF706	Codebook clone
66	pTH13749	pTH13195	eGFP.ZNF709.FL	ZNF709.FL	ZNF709	Codebook clone
67	pTH13756	pTH13195	eGFP.ZNF732.FL	ZNF732.FL	ZNF732	Codebook clone
68	pTH13759	pTH13195	eGFP.ZNF763.FL	ZNF763.FL	ZNF763	Codebook clone
