num	tf	experiment_type	dataset	final_verdict
1202	ADNP2	CHS	THC_0120	bad
1199	ADNP2	AFS-LYS	YWD_B_AffSeq_D08_ADNP2	bad
1205	ADNP2	HTS-IVT	YWJ_A_AA40NCCGCGT	bad
1206	ADNP2	HTS-IVT	YWJ_A_TC40NGGCTGT	bad
1209	ADNP2	PBM	PBM13511	bad
1210	ADNP2	PBM	PBM13512	bad
1212	ADNP2	PBM	PBM13528	bad
1213	ADNP2	SMS	UT380-006	bad
1207	ADNP2	HTS-LYS	YWD_A_CT40NTGTCTG	bad
1198	ADNP2	AFS-IVT	YWJ_B_AffSeq_H01_ADNP2_DBD_1	bad
1208	ADNP2	HTS-LYS	YWL_A_GA40NTTCCTA	bad
1200	ADNP2	AFS-LYS	YWL_B_AffSeq_E3_ADNP2	bad
1203	ADNP2	HTS-GFPIVT	YWM_A_GG40NCGTAGT	bad
1204	ADNP2	HTS-GFPIVT	YWM_A_TA40NCGTCGG	bad
1196	ADNP2	AFS-GFPIVT	YWM_B_AffSeq_F1_ADNP2-DBD-1	bad
1197	ADNP2	AFS-GFPIVT	YWM_B_AffSeq_G1_ADNP2-DBD-2	bad
2231	AEBP1	PBM	PBM13668	bad
2232	AEBP1	PBM	PBM13684	bad
2229	AEBP1	HTS-IVT	YWE_A_AC40NGTTCGA	bad
2230	AEBP1	HTS-LYS	YWL_A_GT40NGGCATT	bad
2227	AEBP1	AFS-LYS	YWL_B_AffSeq_F5_AEBP1	bad
2228	AEBP1	HTS-GFPIVT	YWM_A_TC40NGGCTGT	bad
2226	AEBP1	AFS-GFPIVT	YWM_B_AffSeq_H1_AEBP1-DBD	bad
2534	AHCTF1	SMS	UT380-009	bad
2530	AHCTF1	HTS-IVT	YWC_B_GG40NCGTAGT	bad
2532	AHCTF1	PBM	PBM13497	good
2533	AHCTF1	PBM	PBM13513	good
2535	AHCTF1	SMS	UT380-009-2	bad
2531	AHCTF1	HTS-LYS	YWL_A_CG40NACGGTT	bad
2528	AHCTF1	AFS-LYS	YWL_B_AffSeq_D2_AHCTF1	bad
2529	AHCTF1	HTS-GFPIVT	YWM_A_AA40NCCGCGT	bad
2527	AHCTF1	AFS-GFPIVT	YWM_B_AffSeq_A2_AHCTF1-DBD	bad
48	AHDC1	CHS	THC_0756	bad
49	AHDC1	HTS-LYS	YWN_A_GG40NTAGTTT	bad
46	AHDC1	AFS-LYS	YWN_B_AffSeq_F3_AHDC1	bad
50	AHDC1	HTS-LYS	YWO_A_GG40NTAGTTT	bad
47	AHDC1	AFS-LYS	YWO_B_AffSeq_F3_AHDC1	bad
3122	AKAP8	CHS	THC_0103	bad
3129	AKAP8	SMS	UT380-010	bad
3130	AKAP8	SMS	UT380-011	bad
3127	AKAP8	PBM	PBM13505	bad
3128	AKAP8	PBM	PBM13521	bad
3126	AKAP8	HTS-LYS	YWD_A_CC40NCCAATA	bad
3121	AKAP8	AFS-LYS	YWD_B_AffSeq_C08_AKAP8	bad
3125	AKAP8	HTS-IVT	YWH_A_AG40NGGAATC	bad
3120	AKAP8	AFS-IVT	YWH_B_AffSeq_B03_AKAP8_DBD	bad
3123	AKAP8	HTS-GFPIVT	YWM_A_AG40NACCATA	bad
3124	AKAP8	HTS-GFPIVT	YWM_A_CA40NTGCCGT	bad
3118	AKAP8	AFS-GFPIVT	YWM_B_AffSeq_B2_AKAP8-DBD	bad
3119	AKAP8	AFS-GFPIVT	YWM_B_AffSeq_C2_AKAP8-FL	bad
907	AKAP8L	PBM	PBM13506	bad
908	AKAP8L	PBM	PBM13522	bad
909	AKAP8L	SMS	UT380-012	bad
910	AKAP8L	SMS	UT380-012-2	bad
905	AKAP8L	HTS-IVT	YWC_B_GG40NGGTTTA	bad
906	AKAP8L	HTS-LYS	YWD_A_GC40NCTTGTA	bad
902	AKAP8L	AFS-LYS	YWD_B_AffSeq_E08_AKAP8L	bad
903	AKAP8L	HTS-GFPIVT	YWM_A_CG40NACGGTT	bad
904	AKAP8L	HTS-GFPIVT	YWM_A_GA40NGGTCAT	bad
900	AKAP8L	AFS-GFPIVT	YWM_B_AffSeq_D2_AKAP8L-DBD	bad
901	AKAP8L	AFS-GFPIVT	YWM_B_AffSeq_E2_AKAP8L-FL	bad
676	AKNA	PBM	PBM13835	bad
673	AKNA	PBM	PBM13498	bad
674	AKNA	PBM	PBM13514	bad
675	AKNA	PBM	PBM13819	bad
677	AKNA	SMS	UT380-014	bad
678	AKNA	SMS	UT380-015	bad
670	AKNA	HTS-IVT	YWH_A_AG40NTCGACT	bad
671	AKNA	HTS-IVT	YWH_A_CA40NTCGATG	bad
665	AKNA	AFS-IVT	YWH_B_AffSeq_B01_AKNA_DBD_1	bad
666	AKNA	AFS-IVT	YWH_B_AffSeq_C01_AKNA_DBD_2	bad
672	AKNA	HTS-LYS	YWL_A_TC40NGGCTGT	bad
667	AKNA	AFS-LYS	YWL_B_AffSeq_H1_AKNA	bad
668	AKNA	HTS-GFPIVT	YWM_A_GG40NGGTTTA	bad
669	AKNA	HTS-GFPIVT	YWM_A_TA40NTCACTC	bad
664	AKNA	AFS-GFPIVT	YWM_B_AffSeq_F2_AKNA-DBD-1	bad
96	ANKZF1	CHS	THC_0165	bad
103	ANKZF1	SMS	UT380-016	bad
104	ANKZF1	SMS	UT380-017	bad
95	ANKZF1	AFS-LYS	YWD_B_AffSeq_G10_ANKZF1	bad
101	ANKZF1	PBM	PBM13507	bad
102	ANKZF1	PBM	PBM13523	bad
100	ANKZF1	HTS-LYS	YWD_A_TC40NAATCTC	bad
99	ANKZF1	HTS-IVT	YWE_A_CG40NGTTATT	bad
97	ANKZF1	HTS-GFPIVT	YWM_A_AA40NAGTGGT	bad
98	ANKZF1	HTS-GFPIVT	YWM_A_TC40NGTTTTG	bad
94	ANKZF1	AFS-GFPIVT	YWM_B_AffSeq_A3_ANKZF1-FL	bad
1067	ARHGAP35	PBM	PBM13669	bad
1068	ARHGAP35	PBM	PBM13685	bad
1065	ARHGAP35	HTS-IVT	YWJ_A_GA40NGAGCTG	bad
1066	ARHGAP35	HTS-LYS	YWL_A_CG40NTCTTGA	bad
1064	ARHGAP35	HTS-GFPIVT	YWM_A_AG40NGGAATC	bad
3943	ARID2	CHS	THC_0275	bad
3944	ARID2	CHS	THC_0409.Rep-DIANA_0293	bad
3945	ARID2	CHS	THC_0409.Rep-MICHELLE_0314	bad
3949	ARID2	PBM	PBM13818	bad
3950	ARID2	PBM	PBM13834	bad
3947	ARID2	HTS-IVT	YWH_A_AA40NTATCGC	bad
3941	ARID2	AFS-IVT	YWH_B_AffSeq_A01_ARID2_DBD	bad
3948	ARID2	HTS-LYS	YWL_A_AA40NCCGCGT	bad
3942	ARID2	AFS-LYS	YWL_B_AffSeq_A2_ARID2	bad
3946	ARID2	HTS-GFPIVT	YWM_A_CA40NAGCGTA	bad
1947	ATMIN	CHS	THC_0236	good
1948	ATMIN	CHS	THC_0244	good
1952	ATMIN	HTS-LYS	YWK_A_CA40NAGCGTA	dunno
1953	ATMIN	HTS-LYS	YWK_C_CA40NAGCGTA	dunno
1949	ATMIN	HTS-GFPIVT	YWM_A_CG40NTCTTGA	bad
1943	ATMIN	AFS-GFPIVT	YWM_B_AffSeq_D3_ATMIN-DBD	bad
1954	ATMIN	PBM	PBM13508	bad
1955	ATMIN	PBM	PBM13524	bad
1956	ATMIN	SMS	UT380-020	bad
1957	ATMIN	SMS	UT380-021	bad
1951	ATMIN	HTS-IVT	YWH_A_CA40NAGCGTA	bad
1945	ATMIN	AFS-IVT	YWH_B_AffSeq_C03_ATMIN_DBD	bad
1946	ATMIN	AFS-LYS	YWK_B_AffSeq_C3_ATMIN	bad
1950	ATMIN	HTS-GFPIVT	YWM_A_GA40NTTCCTA	bad
1944	ATMIN	AFS-GFPIVT	YWM_B_AffSeq_E3_ATMIN-FL	bad
2101	BATF2	PBM	PBM13516	bad
2097	BATF2	HTS-IVT	YWH_A_GG40NGGTTTA	bad
2095	BATF2	HTS-GFPIVT	YWM_A_GG40NTAGTTT	bad
2099	BATF2	PBM	PBM13500	bad
2100	BATF2	PBM	PBM13501	bad
2102	BATF2	PBM	PBM13517	bad
2093	BATF2	CHS	THC_0117	good
2094	BATF2	CHS	THC_0118	good
2103	BATF2	SMS	UT380-022	bad
2096	BATF2	HTS-IVT	YWH_A_GA40NGGTCAT	bad
2091	BATF2	AFS-IVT	YWH_B_AffSeq_F02_BATF2_DBD	bad
2098	BATF2	HTS-LYS	YWL_A_GG40NTAGTTT	good
2092	BATF2	AFS-LYS	YWL_B_AffSeq_F3_BATF2	good
2912	BAZ2B	CHS	THC_0613	bad
2913	BAZ2B	HTS-LYS	YWL_A_GT40NTGTGGA	bad
3625	BHLHA9	PBM	PBM13515	bad
3626	BHLHA9	SMS	UT380-023	bad
3624	BHLHA9	PBM	PBM13499	bad
3618	BHLHA9	CHS	THC_0190	good
3619	BHLHA9	CHS	THC_0198	good
3621	BHLHA9	HTS-IVT	YWH_A_AA40NCCGCGT	bad
3622	BHLHA9	HTS-LYS	YWK_A_CA40NCATGTC	bad
3617	BHLHA9	AFS-LYS	YWK_B_AffSeq_C4_BHLHA9	bad
3623	BHLHA9	HTS-LYS	YWK_C_CA40NCATGTC	bad
3620	BHLHA9	HTS-GFPIVT	YWM_A_TA40NAGGCTT	bad
3616	BHLHA9	AFS-GFPIVT	YWM_B_AffSeq_G3_BHLHA9-FL	bad
481	BRF2	PBM	PBM13670	bad
482	BRF2	PBM	PBM13686	bad
478	BRF2	HTS-IVT	YWF_A_AC40NGTTCGA	bad
479	BRF2	HTS-LYS	YWK_A_AC40NGCTGCT	bad
476	BRF2	AFS-LYS	YWK_B_AffSeq_A9_BRF2	bad
480	BRF2	HTS-LYS	YWK_C_AC40NGCTGCT	bad
477	BRF2	HTS-GFPIVT	YWM_A_TG40NTGATCT	bad
475	BRF2	AFS-GFPIVT	YWM_B_AffSeq_H3_BRF2-FL	bad
2308	CAMTA1	PBM	PBM13538	bad
2309	CAMTA1	PBM	PBM13554	bad
2305	CAMTA1	HTS-IVT	YWE_A_CC40NTGAGTA	bad
2303	CAMTA1	CHS	THC_0249	good
2310	CAMTA1	SMS	UT380-026	good
2306	CAMTA1	HTS-LYS	YWK_A_TA40NAGGCTT	good
2301	CAMTA1	AFS-LYS	YWK_B_AffSeq_G3_CAMTA1	good
2307	CAMTA1	HTS-LYS	YWK_C_TA40NAGGCTT	good
2302	CAMTA1	AFS-LYS	YWK_D_AffSeq_G3_CAMTA1	good
2304	CAMTA1	HTS-GFPIVT	YWM_A_AG40NTGGCTA	good
2300	CAMTA1	AFS-GFPIVT	YWM_B_AffSeq_B4_CAMTA1-DBD	good
1891	CAMTA2	PBM	PBM13539	bad
1892	CAMTA2	PBM	PBM13555	bad
1887	CAMTA2	CHS	THC_0232	good
1893	CAMTA2	SMS	UT380-027	good
1889	CAMTA2	HTS-IVT	YWI_A_AC40NTCCTTG	bad
1885	CAMTA2	AFS-IVT	YWI_B_AffSeq_A12_CAMTA2_DBD	bad
1890	CAMTA2	HTS-LYS	YWL_A_TA40NTCACTC	good
1886	CAMTA2	AFS-LYS	YWL_B_AffSeq_G2_CAMTA2	good
1888	CAMTA2	HTS-GFPIVT	YWM_A_CA40NCATGTC	bad
1884	CAMTA2	AFS-GFPIVT	YWM_B_AffSeq_C4_CAMTA2-DBD	bad
371	CASZ1	SMS	UT380-029	bad
360	CASZ1	AFS-IVT	YWH_B_AffSeq_D03_CASZ1_DBD_2	bad
363	CASZ1	CHS	THC_0353.Rep-MICHELLE_0314	bad
370	CASZ1	SMS	UT380-028	good
372	CASZ1	SMS	UT380-029-2	good
366	CASZ1	HTS-IVT	YWF_A_CG40NGTTATT	good
359	CASZ1	AFS-IVT	YWF_B_AffSeq_D01_CASZ1	good
367	CASZ1	HTS-IVT	YWH_A_CG40NTCTTGA	bad
368	CASZ1	HTS-LYS	YWK_A_AG40NGGAATC	good
361	CASZ1	AFS-LYS	YWK_B_AffSeq_B3_CASZ1	good
369	CASZ1	HTS-LYS	YWK_C_AG40NGGAATC	good
362	CASZ1	AFS-LYS	YWK_D_AffSeq_B3_CASZ1	good
364	CASZ1	HTS-GFPIVT	YWM_A_CT40NCGGAGA	good
365	CASZ1	HTS-GFPIVT	YWM_A_GA40NGAGCTG	bad
357	CASZ1	AFS-GFPIVT	YWM_B_AffSeq_D4_CASZ1-DBD-1	good
358	CASZ1	AFS-GFPIVT	YWM_B_AffSeq_E4_CASZ1-DBD-2	bad
3663	CBX2	SMS	UT380-030	bad
3658	CBX2	CHS	THC_0659	bad
3659	CBX2	CHS	THC_0755	bad
3660	CBX2	HTS-GFPIVT	YWM_A_GT40NACGATC	bad
3655	CBX2	AFS-GFPIVT	YWM_B_AffSeq_F4_CBX2-FL	bad
3661	CBX2	HTS-LYS	YWN_A_CG40NGTTATT	bad
3656	CBX2	AFS-LYS	YWN_B_AffSeq_D1_CBX2	bad
3662	CBX2	HTS-LYS	YWO_A_CG40NGTTATT	bad
3657	CBX2	AFS-LYS	YWO_B_AffSeq_D1_CBX2	bad
135	CC2D1A	AFS-LYS	YWL_B_AffSeq_E5_CC2D1A	bad
134	CC2D1A	AFS-GFPIVT	YWM_B_AffSeq_G4_CC2D1A-FL	bad
137	CC2D1A	HTS-LYS	YWL_A_GA40NACTTTG	bad
136	CC2D1A	HTS-GFPIVT	YWM_A_TA40NTTTGCG	bad
3262	CCDC17	AFS-LYS	YWD_B_AffSeq_E04_CCDC17	bad
3266	CCDC17	PBM	PBM13401	bad
3267	CCDC17	PBM	PBM13417	bad
3268	CCDC17	SMS	UT380-032	bad
3265	CCDC17	HTS-LYS	YWD_A_GA40NGAGCTG	bad
3264	CCDC17	HTS-IVT	YWH_A_GA40NTTCCTA	bad
3263	CCDC17	HTS-GFPIVT	YWM_A_TG40NCATATG	bad
1563	CENPA	PBM	PBM13540	bad
1564	CENPA	PBM	PBM13556	bad
1557	CENPA	CHS	THC_0633	bad
1558	CENPA	CHS	THC_0729	bad
1560	CENPA	HTS-IVT	YWE_A_AT40NTCCCGA	bad
1559	CENPA	HTS-GFPIVT	YWM_A_AA40NCCAGTG	bad
1554	CENPA	AFS-GFPIVT	YWM_B_AffSeq_A5_CENPA-FL	bad
1561	CENPA	HTS-LYS	YWN_A_GA40NCTGATT	bad
1555	CENPA	AFS-LYS	YWN_B_AffSeq_E1_CENPA	bad
1562	CENPA	HTS-LYS	YWO_A_GA40NCTGATT	bad
1556	CENPA	AFS-LYS	YWO_B_AffSeq_E1_CENPA	bad
718	CENPS	PBM	PBM13671	bad
719	CENPS	PBM	PBM13687	bad
715	CENPS	HTS-IVT	YWJ_A_GT40NACGATC	bad
714	CENPS	HTS-GFPIVT	YWM_A_AG40NGCTCTG	bad
716	CENPS	HTS-LYS	YWN_A_AG40NTCGACT	bad
712	CENPS	AFS-LYS	YWN_B_AffSeq_B1_CENPS	bad
717	CENPS	HTS-LYS	YWO_A_AG40NTCGACT	bad
713	CENPS	AFS-LYS	YWO_B_AffSeq_B1_CENPS	bad
554	CENPT	HTS-IVT	YWJ_A_TA40NTTTGCG	bad
555	CENPT	HTS-LYS	YWL_A_TA40NTTTGCG	bad
553	CENPT	HTS-GFPIVT	YWM_A_CA40NCTTTGA	bad
556	CENPT	PBM	PBM13541	bad
557	CENPT	PBM	PBM13557	bad
552	CENPT	AFS-LYS	YWL_B_AffSeq_G4_CENPT	bad
551	CENPT	AFS-GFPIVT	YWM_B_AffSeq_C5_CENPT-FL	bad
3465	CENPX	CHS	THC_0539	bad
3469	CENPX	PBM	PBM13542	bad
3470	CENPX	PBM	PBM13558	bad
3467	CENPX	HTS-IVT	YWF_A_AT40NTCCCGA	bad
3468	CENPX	HTS-LYS	YWL_A_AT40NCGGGTT	bad
3464	CENPX	AFS-LYS	YWL_B_AffSeq_B11_CENPX	bad
3466	CENPX	HTS-GFPIVT	YWM_A_CT40NTCTAGT	bad
3463	CENPX	AFS-GFPIVT	YWM_B_AffSeq_D5_CENPX-FL	bad
2556	CGGBP1	PBM	PBM13543	good
2557	CGGBP1	PBM	PBM13559	good
2552	CGGBP1	CHS	THC_0635	good
2558	CGGBP1	SMS	UT380-037	good
2554	CGGBP1	HTS-IVT	YWC_A_TA40NGTTAGC	bad
2555	CGGBP1	HTS-LYS	YWL_A_CC40NCGTTTT	good
2551	CGGBP1	AFS-LYS	YWL_B_AffSeq_C11_CGGBP1	good
2553	CGGBP1	HTS-GFPIVT	YWM_A_GA40NACTTTG	bad
2550	CGGBP1	AFS-GFPIVT	YWM_B_AffSeq_E5_CGGBP1-FL	good
1192	CHAMP1	PBM	PBM13565	dunno
1193	CHAMP1	PBM	PBM13581	dunno
1186	CHAMP1	CHS	THC_0246	bad
1194	CHAMP1	SMS	UT380-038-1	bad
1195	CHAMP1	SMS	UT380-038-2	bad
1189	CHAMP1	HTS-IVT	YWC_B_TA40NTCACTC	bad
1190	CHAMP1	HTS-LYS	YWK_A_AA40NAGTGGT	bad
1184	CHAMP1	AFS-LYS	YWK_B_AffSeq_A3_CHAMP1	bad
1191	CHAMP1	HTS-LYS	YWK_C_AA40NAGTGGT	bad
1185	CHAMP1	AFS-LYS	YWK_D_AffSeq_A3_CHAMP1	bad
1187	CHAMP1	HTS-GFPIVT	YWM_A_GT40NGGCATT	bad
1188	CHAMP1	HTS-GFPIVT	YWM_A_TA40NGAGGGT	bad
1182	CHAMP1	AFS-GFPIVT	YWM_B_AffSeq_F5_CHAMP1-DBD	bad
1183	CHAMP1	AFS-GFPIVT	YWM_B_AffSeq_G5_CHAMP1-FL	bad
214	CHCHD3	CHS	THC_0466	dunno
218	CHCHD3	PBM	PBM13672	bad
219	CHCHD3	PBM	PBM13688	bad
216	CHCHD3	HTS-IVT	YWJ_A_TG40NCATATG	bad
217	CHCHD3	HTS-LYS	YWL_A_CT40NTACGTT	bad
213	CHCHD3	AFS-LYS	YWL_B_AffSeq_D11_CHCHD3	bad
215	CHCHD3	HTS-GFPIVT	YWM_A_TG40NGACCTT	bad
152	CPXCR1	CHS	THC_0276	bad
153	CPXCR1	CHS	THC_0361.Rep-DIANA_0293	good
154	CPXCR1	CHS	THC_0361.Rep-MICHELLE_0314	good
159	CPXCR1	PBM	PBM13566	bad
160	CPXCR1	PBM	PBM13567	bad
161	CPXCR1	PBM	PBM13582	bad
162	CPXCR1	PBM	PBM13583	bad
163	CPXCR1	SMS	UT380-041	bad
156	CPXCR1	HTS-IVT	YWE_A_GA40NCTGATT	bad
157	CPXCR1	HTS-IVT	YWH_A_GG40NTAGTTT	bad
158	CPXCR1	HTS-LYS	YWL_A_GG40NCGTAGT	bad
151	CPXCR1	AFS-LYS	YWL_B_AffSeq_F1_CPXCR1	bad
155	CPXCR1	HTS-GFPIVT	YWM_A_AA40NGTGGTG	bad
150	CPXCR1	AFS-GFPIVT	YWM_B_AffSeq_A6_CPXCR1-FL	bad
1478	CREB3L3	PBM	PBM13563	bad
1480	CREB3L3	PBM	PBM13579	bad
1475	CREB3L3	HTS-IVT	YWE_A_CA40NTCGATG	bad
1479	CREB3L3	PBM	PBM13564	good
1481	CREB3L3	PBM	PBM13580	good
1472	CREB3L3	CHS	THC_0565	good
1482	CREB3L3	SMS	UT380-042	good
1474	CREB3L3	HTS-IVT	YWC_B_GA40NGGTCAT	good
1473	CREB3L3	HTS-GFPIVT	YWM_A_AG40NCTTTTC	good
1469	CREB3L3	AFS-GFPIVT	YWM_B_AffSeq_B6_CREB3L3-FL	good
1476	CREB3L3	HTS-LYS	YWN_A_GG40NGGTTTA	good
1470	CREB3L3	AFS-LYS	YWN_B_AffSeq_F2_CREB3L3	good
1477	CREB3L3	HTS-LYS	YWO_A_GG40NGGTTTA	good
1471	CREB3L3	AFS-LYS	YWO_B_AffSeq_F2_CREB3L3	good
3694	CSRNP1	PBM	PBM13595	bad
3695	CSRNP1	PBM	PBM13596	bad
3696	CSRNP1	PBM	PBM13611	bad
3697	CSRNP1	PBM	PBM13612	bad
3688	CSRNP1	CHS	THC_0827	bad
3698	CSRNP1	SMS	UT380-043	bad
3699	CSRNP1	SMS	UT380-044	bad
3691	CSRNP1	HTS-IVT	YWE_A_CC40NCCAATA	bad
3692	CSRNP1	HTS-IVT	YWJ_A_AA40NCCAGTG	bad
3693	CSRNP1	HTS-LYS	YWL_A_TA40NGCTGTA	bad
3687	CSRNP1	AFS-LYS	YWL_B_AffSeq_G6_CSRNP1	bad
3689	CSRNP1	HTS-GFPIVT	YWM_A_CA40NGCCTTT	bad
3690	CSRNP1	HTS-GFPIVT	YWM_A_CT40NTTGCGC	bad
2599	CSRNP2	PBM	PBM13597	bad
2600	CSRNP2	PBM	PBM13598	bad
2601	CSRNP2	PBM	PBM13613	bad
2602	CSRNP2	PBM	PBM13614	bad
2591	CSRNP2	CHS	THC_0636	bad
2592	CSRNP2	CHS	THC_0732	bad
2603	CSRNP2	SMS	UT380-045	bad
2604	CSRNP2	SMS	UT380-046	bad
2595	CSRNP2	HTS-IVT	YWJ_A_AG40NGCTCTG	bad
2596	CSRNP2	HTS-IVT	YWJ_A_CA40NCTTTGA	bad
2593	CSRNP2	HTS-GFPIVT	YWM_A_GC40NTATAGG	bad
2594	CSRNP2	HTS-GFPIVT	YWM_A_GT40NGTTCTC	bad
2597	CSRNP2	HTS-LYS	YWN_A_AG40NACCATA	bad
2589	CSRNP2	AFS-LYS	YWN_B_AffSeq_B2_CSRNP2	bad
2598	CSRNP2	HTS-LYS	YWO_A_AG40NACCATA	bad
2590	CSRNP2	AFS-LYS	YWO_B_AffSeq_B2_CSRNP2	bad
3162	CSRNP3	PBM	PBM13599	bad
3163	CSRNP3	PBM	PBM13615	bad
3156	CSRNP3	CHS	THC_0828	bad
3164	CSRNP3	SMS	UT380-047	bad
3159	CSRNP3	HTS-IVT	YWJ_A_CT40NTCTAGT	bad
3155	CSRNP3	CHS	THC_0541	bad
3157	CSRNP3	HTS-GFPIVT	YWM_A_TA40NGCTGTA	bad
3158	CSRNP3	HTS-GFPIVT	YWM_A_TG40NTGTGTT	bad
3160	CSRNP3	HTS-LYS	YWN_A_CG40NACGGTT	bad
3153	CSRNP3	AFS-LYS	YWN_B_AffSeq_D2_CSRNP3	bad
3161	CSRNP3	HTS-LYS	YWO_A_CG40NACGGTT	bad
3154	CSRNP3	AFS-LYS	YWO_B_AffSeq_D2_CSRNP3	bad
2354	CTCF	PBM	PBM14435	bad
2355	CTCF	PBM	PBM14451	dunno
2347	CTCF	HTS-LYS	YWG_A_AG40NGGAATC	bad
2356	CTCF	SMS	SRR3405078	good
2335	CTCF	CHS	THC_0201	good
2336	CTCF	CHS	THC_0209	good
2337	CTCF	CHS	THC_0313.Rep-DIANA_0293	good
2338	CTCF	CHS	THC_0313.Rep-MICHELLE_0314	good
2339	CTCF	CHS	THC_0456.Rep-DIANA_0293	good
2340	CTCF	CHS	THC_0456.Rep-MICHELLE_0314	good
2341	CTCF	CHS	THC_0575	good
2342	CTCF	CHS	THC_0744	good
2343	CTCF	CHS	THC_0865	good
2344	CTCF	CHS	THC_0867	good
2345	CTCF	HTS-IVT	YWE_A_TT40NCTCGTC	bad
2348	CTCF	HTS-LYS	YWG_A_AT40NAGCCTC	good
2346	CTCF	HTS-IVT	YWI_A_TT40NCTCGTC	bad
2329	CTCF	AFS-IVT	YWI_B_HT-SELEX_H12_CTCF	bad
2349	CTCF	HTS-LYS	YWK_A_TC40NTTCCGG	good
2330	CTCF	AFS-LYS	YWK_B_AffSeq_G9_CTCF	good
2350	CTCF	HTS-LYS	YWK_C_TC40NTTCCGG	good
2331	CTCF	AFS-LYS	YWK_D_AffSeq_G9_CTCF	good
2351	CTCF	HTS-LYS	YWL_A_TG40NCTGTGG	good
2332	CTCF	AFS-LYS	YWL_B_AffSeq_H8_CTCF	good
2352	CTCF	HTS-LYS	YWN_A_AA40NCCAGTG	good
2333	CTCF	AFS-LYS	YWN_B_AffSeq_A5_CTCF	good
2353	CTCF	HTS-LYS	YWO_A_AA40NCCAGTG	good
2334	CTCF	AFS-LYS	YWO_B_AffSeq_A5_CTCF	good
3481	CXXC4	PBM	PBM13570	good
3482	CXXC4	PBM	PBM13586	good
3483	CXXC4	PBM	PBM13920	good
3484	CXXC4	PBM	PBM13936	good
3474	CXXC4	CHS	THC_0235	good
3475	CXXC4	CHS	THC_0243	good
3485	CXXC4	SMS	UT380-049	good
3477	CXXC4	HTS-IVT	YWC_B_AA40NGTGGTC	good
3478	CXXC4	HTS-IVT	YWC_B_TG40NTGATCT	good
3479	CXXC4	HTS-LYS	YWK_A_GG40NTAGTTT	good
3472	CXXC4	AFS-LYS	YWK_B_AffSeq_F3_CXXC4	good
3480	CXXC4	HTS-LYS	YWK_C_GG40NTAGTTT	good
3473	CXXC4	AFS-LYS	YWK_D_AffSeq_F3_CXXC4	good
3476	CXXC4	HTS-GFPIVT	YWM_A_AC40NGTATGA	good
3471	CXXC4	AFS-GFPIVT	YWM_B_AffSeq_A7_CXXC4-FL	good
1979	DACH1	PBM	PBM13600	bad
1981	DACH1	SMS	UT380-050	bad
