ID	TF	Peaks	RawFiles	macs2-paired-end-peak-count	gem-peak-count	sissrs-peak-count	cpics-peak-count	QC.estFragLen	QC.FRiP_CPICS	QC.FRiP_GEM	QC.FRiP_MACS2-PEMODE	QC.FRiP_SISSRS	QC.NRF	QC.NSC	QC.PBC1	QC.PBC2	QC.RSC	align_count	read_count	align_percent
EXP950020	PRDM13	PEAKS950020	/SELEX_RawData/Phase4/YWK/PRDM13_pTH13635_AffiSeq_Lysate_Batch_YWKB_Standard_Well_F1_Cycle1_Read1.fastq.gz;/SELEX_RawData/Phase4/YWK/PRDM13_pTH13635_AffiSeq_Lysate_Batch_YWKB_Standard_Well_F1_Cycle1_Read2.fastq.gz	28461	1547	10650	5264	-5	0.053497241984086	0	0.076839474234474	0.023519724311874	0.994791	1.317849	0.99526	228.547025	0.1414862	2784572	4182178	66.6
EXP950021	PRDM13	PEAKS950021	/SELEX_RawData/Phase4/YWK/PRDM13_pTH13635_AffiSeq_Lysate_Batch_YWKB_Standard_Well_F1_Cycle2_Read1.fastq.gz;/SELEX_RawData/Phase4/YWK/PRDM13_pTH13635_AffiSeq_Lysate_Batch_YWKB_Standard_Well_F1_Cycle2_Read2.fastq.gz	17693	3305	9091	4149	185	1.35E-01	0.159816408899	0.160029696147704	0.024506157985693	0.965946	5.104943	0.979717	71.736071	0.167552	1673296	2717540	61.6
EXP950022	PRDM13	PEAKS950022	/SELEX_RawData/Phase4/YWK/PRDM13_pTH13635_AffiSeq_Lysate_Batch_YWKB_Standard_Well_F1_Cycle3_Read1.fastq.gz;/SELEX_RawData/Phase4/YWK/PRDM13_pTH13635_AffiSeq_Lysate_Batch_YWKB_Standard_Well_F1_Cycle3_Read2.fastq.gz	7889	1774	4495	1962	190	1.37E-01	0.214097846043974	0.184017608983566	0.025448818561915	0.947169	13.95463	0.974579	65.51195	0.1968295	919766	1730502	53.2
EXP950023	PRDM13	PEAKS950023	/SELEX_RawData/Phase4/YWK/PRDM13_pTH13635_AffiSeq_Lysate_Batch_YWKB_Standard_Well_F1_Cycle4_Read1.fastq.gz;/SELEX_RawData/Phase4/YWK/PRDM13_pTH13635_AffiSeq_Lysate_Batch_YWKB_Standard_Well_F1_Cycle4_Read2.fastq.gz	5120	1413	2954	1226	140	2.48E-01	0.357141979329245	0.401154383420793	0.085366203356642	0.886858	52.62949	0.953796	40.787921	0.2645514	893930	1768970	50.5
EXP950024	POGK	PEAKS950024	/SELEX_RawData/Phase4/YWK/POGK_pTH13611_AffiSeq_Lysate_Batch_YWKB_Standard_Well_G1_Cycle1_Read1.fastq.gz;/SELEX_RawData/Phase4/YWK/POGK_pTH13611_AffiSeq_Lysate_Batch_YWKB_Standard_Well_G1_Cycle1_Read2.fastq.gz	1697	3	87	40	70	0.000815683733232	0.000406899968541	0.008273632693659	0.005095668587511	0.999708	1.289061	0.999737	3999.121212	1.07909	1271948	1970278	64.6
EXP950025	POGK	PEAKS950025	/SELEX_RawData/Phase4/YWK/POGK_pTH13611_AffiSeq_Lysate_Batch_YWKB_Standard_Well_G1_Cycle2_Read1.fastq.gz;/SELEX_RawData/Phase4/YWK/POGK_pTH13611_AffiSeq_Lysate_Batch_YWKB_Standard_Well_G1_Cycle2_Read2.fastq.gz	3191	44	566	158	80	0.009833304107085	0.007266708114801	0.035738387880141	0.012963169613204	0.99596	3.489137	0.997636	565.324201	1.09506	946344	1460818	64.8
EXP950026	POGK	PEAKS950026	/SELEX_RawData/Phase4/YWK/POGK_pTH13611_AffiSeq_Lysate_Batch_YWKB_Standard_Well_G1_Cycle3_Read1.fastq.gz;/SELEX_RawData/Phase4/YWK/POGK_pTH13611_AffiSeq_Lysate_Batch_YWKB_Standard_Well_G1_Cycle3_Read2.fastq.gz	26126	40	154	68	200	4.60E-02	0.117165301688116	0.237940832358349	0.01114825338459	0.92791	57.60278	0.985899	153.858757	1.025684	1044360	1730312	60.4
EXP950027	POGK	PEAKS950027	/SELEX_RawData/Phase4/YWK/POGK_pTH13611_AffiSeq_Lysate_Batch_YWKB_Standard_Well_G1_Cycle4_Read1.fastq.gz;/SELEX_RawData/Phase4/YWK/POGK_pTH13611_AffiSeq_Lysate_Batch_YWKB_Standard_Well_G1_Cycle4_Read2.fastq.gz	11894	28	95	35	130	1.15E-01	0.169971198397128	0.635555370037985	0.049672329590516	0.903372	252.5013	0.979414	113.569892	1.772782	993376	1516766	65.5
EXP950028	ZNF827	PEAKS950028	/SELEX_RawData/Phase4/YWK/ZNF827_pTH13770_AffiSeq_Lysate_Batch_YWKB_Standard_Well_H1_Cycle1_Read1.fastq.gz;/SELEX_RawData/Phase4/YWK/ZNF827_pTH13770_AffiSeq_Lysate_Batch_YWKB_Standard_Well_H1_Cycle1_Read2.fastq.gz	294	12	114	147	70	0.001345235364048	0.00022278386931	0.002264811335243	0.003686836032968	0.999615	1.144677	0.99963	2812.058981	0.9553307	2364552	3814704	62.0
EXP950029	ZNF827	PEAKS950029	/SELEX_RawData/Phase4/YWK/ZNF827_pTH13770_AffiSeq_Lysate_Batch_YWKB_Standard_Well_H1_Cycle2_Read1.fastq.gz;/SELEX_RawData/Phase4/YWK/ZNF827_pTH13770_AffiSeq_Lysate_Batch_YWKB_Standard_Well_H1_Cycle2_Read2.fastq.gz	3673	35	346	286	70	0.004135213628454	0.001850806381208	0.016369160211155	0.007230076185709	0.999286	1.52745	0.999415	1973.846821	1.057275	1505830	2601772	57.9
EXP950030	ZNF827	PEAKS950030	/SELEX_RawData/Phase4/YWK/ZNF827_pTH13770_AffiSeq_Lysate_Batch_YWKB_Standard_Well_H1_Cycle3_Read1.fastq.gz;/SELEX_RawData/Phase4/YWK/ZNF827_pTH13770_AffiSeq_Lysate_Batch_YWKB_Standard_Well_H1_Cycle3_Read2.fastq.gz	4318	53	553	526	140	0.009718204694605	0.003021223422735	0.020503626811726	0.006073158138205	0.998868	1.160736	0.999019	1129.600437	0.192407	1165596	2180970	53.4
EXP950031	ZNF827	PEAKS950031	/SELEX_RawData/Phase4/YWK/ZNF827_pTH13770_AffiSeq_Lysate_Batch_YWKB_Standard_Well_H1_Cycle4_Read1.fastq.gz;/SELEX_RawData/Phase4/YWK/ZNF827_pTH13770_AffiSeq_Lysate_Batch_YWKB_Standard_Well_H1_Cycle4_Read2.fastq.gz	3778	60	829	532	105	0.018203132866328	0.00511356280836	0.050035241150156	0.013319716344702	0.996904	1.980425	0.997467	457.284053	0.4367846	742110	1539024	48.2
EXP950032	ZBTB5	PEAKS950032	/SELEX_RawData/Phase4/YWK/ZBTB5_pTH13650_AffiSeq_Lysate_Batch_YWKB_Standard_Well_A2_Cycle1_Read1.fastq.gz;/SELEX_RawData/Phase4/YWK/ZBTB5_pTH13650_AffiSeq_Lysate_Batch_YWKB_Standard_Well_A2_Cycle1_Read2.fastq.gz	927	0	81	13	70	0.000292887260509	0	0.005761037152473	0.004525937101079	0.999872	1.137686	0.999872	7827.152174	0.6985965	798796	1331378	60.0
EXP950033	ZBTB5	PEAKS950033	/SELEX_RawData/Phase4/YWK/ZBTB5_pTH13650_AffiSeq_Lysate_Batch_YWKB_Standard_Well_A2_Cycle2_Read1.fastq.gz;/SELEX_RawData/Phase4/YWK/ZBTB5_pTH13650_AffiSeq_Lysate_Batch_YWKB_Standard_Well_A2_Cycle2_Read2.fastq.gz	2607	2	209	132	130	0.001690117111804	0.000200522369197	0.009776729294802	0.004307018282922	0.999621	1.061227	0.999629	2732.328704	0.2406812	1314074	2104492	62.4
EXP950034	ZBTB5	PEAKS950034	/SELEX_RawData/Phase4/YWK/ZBTB5_pTH13650_AffiSeq_Lysate_Batch_YWKB_Standard_Well_A2_Cycle3_Read1.fastq.gz;/SELEX_RawData/Phase4/YWK/ZBTB5_pTH13650_AffiSeq_Lysate_Batch_YWKB_Standard_Well_A2_Cycle3_Read2.fastq.gz	2607	4	392	202	95	0.004431488944881	0.000864464887384	0.022189899037582	0.006614779104143	0.999244	1.335539	0.999288	1496.453333	0.592848	769810	1326988	58.0
EXP950035	ZBTB5	PEAKS950035	/SELEX_RawData/Phase4/YWK/ZBTB5_pTH13650_AffiSeq_Lysate_Batch_YWKB_Standard_Well_A2_Cycle4_Read1.fastq.gz;/SELEX_RawData/Phase4/YWK/ZBTB5_pTH13650_AffiSeq_Lysate_Batch_YWKB_Standard_Well_A2_Cycle4_Read2.fastq.gz	2896	36	561	322	80	1.23E-02	0.002814858519557	0.044611615081414	0.012533700453164	0.996285	2.144592	0.997193	439.397086	0.6787982	683748	1334840	51.2
EXP950036	ZNF750	PEAKS950036	/SELEX_RawData/Phase4/YWK/ZNF750_pTH13758_AffiSeq_Lysate_Batch_YWKB_Standard_Well_B2_Cycle1_Read1.fastq.gz;/SELEX_RawData/Phase4/YWK/ZNF750_pTH13758_AffiSeq_Lysate_Batch_YWKB_Standard_Well_B2_Cycle1_Read2.fastq.gz	18	1	67	10	70	0.000333346123592	4.31671239184237E-05	0.000268595437715	0.003580473111678	0.999807	1.145795	0.999807	5188.0125	0.8884502	913490	1563322	58.4
EXP950037	ZNF750	PEAKS950037	/SELEX_RawData/Phase4/YWK/ZNF750_pTH13758_AffiSeq_Lysate_Batch_YWKB_Standard_Well_B2_Cycle2_Read1.fastq.gz;/SELEX_RawData/Phase4/YWK/ZNF750_pTH13758_AffiSeq_Lysate_Batch_YWKB_Standard_Well_B2_Cycle2_Read2.fastq.gz	1642	3	73	31	65	0.000629755871492	0.000100910436382	0.007084286376344	0.004531626078247	0.999839	1.196525	0.999844	6657.275	0.9826392	1160320	1967616	59.0
EXP950038	ZNF750	PEAKS950038	/SELEX_RawData/Phase4/YWK/ZNF750_pTH13758_AffiSeq_Lysate_Batch_YWKB_Standard_Well_B2_Cycle3_Read1.fastq.gz;/SELEX_RawData/Phase4/YWK/ZNF750_pTH13758_AffiSeq_Lysate_Batch_YWKB_Standard_Well_B2_Cycle3_Read2.fastq.gz	1245	1	143	57	70	2.24E-03	0.000132640582842	0.009786286904816	0.004134504021274	0.999828	1.358802	0.999831	6034.039216	0.7757014	659082	1300976	50.7
EXP950039	ZNF750	PEAKS950039	/SELEX_RawData/Phase4/YWK/ZNF750_pTH13758_AffiSeq_Lysate_Batch_YWKB_Standard_Well_B2_Cycle4_Read1.fastq.gz;/SELEX_RawData/Phase4/YWK/ZNF750_pTH13758_AffiSeq_Lysate_Batch_YWKB_Standard_Well_B2_Cycle4_Read2.fastq.gz	3242	23	501	264	75	0.005952770670361	0.001298976793884	0.025500276294459	0.007571253853064	0.999037	1.633961	0.999129	1236.302932	0.7837274	887594	1835184	48.4
EXP950040	ZNF500	PEAKS950040	/SELEX_RawData/Phase4/YWK/ZNF500_pTH13702_AffiSeq_Lysate_Batch_YWKB_Standard_Well_C2_Cycle1_Read1.fastq.gz;/SELEX_RawData/Phase4/YWK/ZNF500_pTH13702_AffiSeq_Lysate_Batch_YWKB_Standard_Well_C2_Cycle1_Read2.fastq.gz	1005	5	106	32	75	0.000820385902195	0.000139786424676	0.005981025711536	0.004995645996608	0.999841	1.168765	0.999848	6889.47619	0.8965562	953992	1529910	62.4
EXP950041	ZNF500	PEAKS950041	/SELEX_RawData/Phase4/YWK/ZNF500_pTH13702_AffiSeq_Lysate_Batch_YWKB_Standard_Well_C2_Cycle2_Read1.fastq.gz;/SELEX_RawData/Phase4/YWK/ZNF500_pTH13702_AffiSeq_Lysate_Batch_YWKB_Standard_Well_C2_Cycle2_Read2.fastq.gz	4116	106	431	316	70	0.007031041128797	0.005766092185648	0.024164382176856	0.011254188231319	0.997191	2.270502	0.998164	771.798964	1.105497	1666620	2726662	61.1
EXP950042	ZNF500	PEAKS950042	/SELEX_RawData/Phase4/YWK/ZNF500_pTH13702_AffiSeq_Lysate_Batch_YWKB_Standard_Well_C2_Cycle3_Read1.fastq.gz;/SELEX_RawData/Phase4/YWK/ZNF500_pTH13702_AffiSeq_Lysate_Batch_YWKB_Standard_Well_C2_Cycle3_Read2.fastq.gz	2134	82	407	258	75	0.016598805822591	0.012322271798941	0.041838486854943	0.017115892445982	0.993511	5.434556	0.995904	356.929245	1.013835	719082	1298518	55.4
EXP950043	ZNF500	PEAKS950043	/SELEX_RawData/Phase4/YWK/ZNF500_pTH13702_AffiSeq_Lysate_Batch_YWKB_Standard_Well_C2_Cycle4_Read1.fastq.gz;/SELEX_RawData/Phase4/YWK/ZNF500_pTH13702_AffiSeq_Lysate_Batch_YWKB_Standard_Well_C2_Cycle4_Read2.fastq.gz	2044	107	405	285	80	0.044617496091256	0.034914761730003	0.084966794528261	0.032205034361756	0.979702	7.730202	0.989056	150.125196	0.9953839	589162	1201252	49.0
EXP950044	ZNF446	PEAKS950044	/SELEX_RawData/Phase4/YWK/ZNF446_pTH13694_AffiSeq_Lysate_Batch_YWKB_Standard_Well_D2_Cycle1_Read1.fastq.gz;/SELEX_RawData/Phase4/YWK/ZNF446_pTH13694_AffiSeq_Lysate_Batch_YWKB_Standard_Well_D2_Cycle1_Read2.fastq.gz	1301	3	65	17	95	0.000338379969567	0.000141164649881	0.006335801638756	0.004251547102284	0.999787	1.085976	0.999787	4698.431373	0.5481687	1042732	1716262	60.8
EXP950045	ZNF446	PEAKS950045	/SELEX_RawData/Phase4/YWK/ZNF446_pTH13694_AffiSeq_Lysate_Batch_YWKB_Standard_Well_D2_Cycle2_Read1.fastq.gz;/SELEX_RawData/Phase4/YWK/ZNF446_pTH13694_AffiSeq_Lysate_Batch_YWKB_Standard_Well_D2_Cycle2_Read2.fastq.gz	4573	259	912	525	-85	0.0100690723509	0	0.006580971681397	0.004017284003013	0.998754	1.079785	0.998931	1061.914894	0.05231901	1645682	2693644	61.1
EXP950046	ZNF446	PEAKS950046	/SELEX_RawData/Phase4/YWK/ZNF446_pTH13694_AffiSeq_Lysate_Batch_YWKB_Standard_Well_D2_Cycle3_Read1.fastq.gz;/SELEX_RawData/Phase4/YWK/ZNF446_pTH13694_AffiSeq_Lysate_Batch_YWKB_Standard_Well_D2_Cycle3_Read2.fastq.gz	3345	159	805	408	180	0.015515145799935	0.013671035949664	0.015659216881987	0.004898416789782	0.998455	1.198789	0.998732	928.455882	0.04246733	854608	1557572	54.9
EXP950047	ZNF446	PEAKS950047	/SELEX_RawData/Phase4/YWK/ZNF446_pTH13694_AffiSeq_Lysate_Batch_YWKB_Standard_Well_D2_Cycle4_Read1.fastq.gz;/SELEX_RawData/Phase4/YWK/ZNF446_pTH13694_AffiSeq_Lysate_Batch_YWKB_Standard_Well_D2_Cycle4_Read2.fastq.gz	3731	310	1033	475	-70	3.06E-02	0	0.031615674831255	0.002055884693607	0.992339	1.644896	0.994332	222.0675	0.03459361	951686	1753244	54.3
EXP950048	ZNF503	PEAKS950048	/SELEX_RawData/Phase4/YWK/ZNF503_pTH13703_AffiSeq_Lysate_Batch_YWKB_Standard_Well_E2_Cycle1_Read1.fastq.gz;/SELEX_RawData/Phase4/YWK/ZNF503_pTH13703_AffiSeq_Lysate_Batch_YWKB_Standard_Well_E2_Cycle1_Read2.fastq.gz	1109	3	88	23	75	0.00065774443867	0.000348956018989	0.007004225129352	0.005061117512822	0.999755	1.179252	0.999755	4082.134021	0.9671206	940768	1363972	69.0
EXP950049	ZNF503	PEAKS950049	/SELEX_RawData/Phase4/YWK/ZNF503_pTH13703_AffiSeq_Lysate_Batch_YWKB_Standard_Well_E2_Cycle2_Read1.fastq.gz;/SELEX_RawData/Phase4/YWK/ZNF503_pTH13703_AffiSeq_Lysate_Batch_YWKB_Standard_Well_E2_Cycle2_Read2.fastq.gz	1570	6	311	60	85	0.00257655938232	0.000954281252711	0.023197709724994	0.007959573176022	0.99886	1.613993	0.998916	972.208511	1.169455	575678	865824	66.5
EXP950050	ZNF503	PEAKS950050	/SELEX_RawData/Phase4/YWK/ZNF503_pTH13703_AffiSeq_Lysate_Batch_YWKB_Standard_Well_E2_Cycle3_Read1.fastq.gz;/SELEX_RawData/Phase4/YWK/ZNF503_pTH13703_AffiSeq_Lysate_Batch_YWKB_Standard_Well_E2_Cycle3_Read2.fastq.gz	14661	48	298	78	75	1.45E-02	0.009716074705819	0.307149411637698	0.022333477275181	0.982035	5.277562	0.988658	118.58804	1.046333	577548	1127408	51.2
EXP950051	ZNF503	PEAKS950051	/SELEX_RawData/Phase4/YWK/ZNF503_pTH13703_AffiSeq_Lysate_Batch_YWKB_Standard_Well_E2_Cycle4_Read1.fastq.gz;/SELEX_RawData/Phase4/YWK/ZNF503_pTH13703_AffiSeq_Lysate_Batch_YWKB_Standard_Well_E2_Cycle4_Read2.fastq.gz	4390	44	127	29	90	0.020033677302362	0.032252493415656	0.363412633305988	0.030395924182894	0.947617	17.88921	0.973529	56.534574	0.7588486	222884	627638	35.5
EXP950052	C11orf95	PEAKS950052	/SELEX_RawData/Phase4/YWK/C11orf95_pTH13597_AffiSeq_Lysate_Batch_YWKB_Standard_Well_F2_Cycle1_Read1.fastq.gz;/SELEX_RawData/Phase4/YWK/C11orf95_pTH13597_AffiSeq_Lysate_Batch_YWKB_Standard_Well_F2_Cycle1_Read2.fastq.gz	3321	0	239	107	75	0.001271079572161	0	0.013054718041019	0.005601634777425	0.999595	1.219131	0.999623	2820.731707	0.9181112	1617810	2404694	67.3
