ID	TF	Peaks	RawFiles	macs2-single-end-peak-count	macs2-paired-end-peak-count	gem-peak-count	sissrs-peak-count	cpics-peak-count	QC.estFragLen	QC.FRiP_CPICS	QC.FRiP_GEM	QC.FRiP_MACS2-NOMODEL	QC.FRiP_MACS2-PEMODE	QC.FRiP_SISSRS	QC.NRF	QC.NSC	QC.PBC1	QC.PBC2	QC.RSC	align_count	align_percent	read_count
EXP993016	NME2	PEAKS993016	SELEX_RawData/Phase3/YWC/NME2-FL_AffSeq_IVT_BatchYWCC_A07_Cycle2_R1.fastq.gz	NA	NA	0	35	3	-120	0.0002124334249	0	NA	NA	0.001456686342	0.980094	1.093308	0.979923	49.38127	0.8906731	131808	69.0	191107
EXP993017	NME2	PEAKS993017	SELEX_RawData/Phase3/YWC/NME2-FL_AffSeq_IVT_BatchYWCC_A07_Cycle3_R1.fastq.gz	12	NA	0	37	2	80	4.66E-05	0	0.0009995529949	NA	0.002576487534	0.975789	1.057473	0.975546	40.479194	0.5868127	322144	65.3	493102
EXP993018	FLI1	PEAKS993018	SELEX_RawData/Phase3/YWC/FLI1_AffSeq_IVT_BatchYWCC_A09_Cycle1_R1.fastq.gz	1954	NA	4	452	149	100	0.003120209662	0.0002991643179	0.01888938338	NA	0.004492409633	0.979672	1.286556	0.979466	48.204438	0.4735333	404460	66.3	609816
EXP993019	FLI1	PEAKS993019	SELEX_RawData/Phase3/YWC/FLI1_AffSeq_IVT_BatchYWCC_A09_Cycle2_R1.fastq.gz	396	NA	1	60	16	70	0.001268447719	9.98E-05	0.009256817906	NA	0.002422877666	0.980355	1.67913	0.980151	49.855341	1.066078	140329	66.4	211295
EXP993020	FLI1	PEAKS993020	SELEX_RawData/Phase3/YWC/FLI1_AffSeq_IVT_BatchYWCC_A09_Cycle3_R1.fastq.gz	6944	NA	499	2670	989	155	0.05787497302	0.0541802748	0.142418531	NA	0.01365944896	0.968037	2.39405	0.97119	36.386488	0.0918515	347525	66.3	524090
EXP993021	SETBP1	PEAKS993021	SELEX_RawData/Phase3/YWC/SETBP1-DBD-1_AffSeq_IVT_BatchYWCC_B02_Cycle1_R1.fastq.gz	10	NA	0	40	4	815	2.02E-05	0	0.001002232245	NA	0.002146194301	0.979653	1.040941	0.979454	48.194586	2.272514	197574	67.7	291735
EXP993022	SETBP1	PEAKS993022	SELEX_RawData/Phase3/YWC/SETBP1-DBD-1_AffSeq_IVT_BatchYWCC_B02_Cycle2_R1.fastq.gz	4	NA	0	40	2	-430	1.43E-05	0	0.0003298791638	NA	0.001735451253	0.98146	1.048216	0.981264	52.806401	1.041124	139449	64.0	217999
EXP993023	SETBP1	PEAKS993023	SELEX_RawData/Phase3/YWC/SETBP1-DBD-1_AffSeq_IVT_BatchYWCC_B02_Cycle3_R1.fastq.gz	15	NA	0	45	2	80	6.87E-05	0	0.001386354868	NA	0.003635911823	0.977898	1.090262	0.977704	44.461433	0.7951586	305838	63.9	478765
EXP993024	JRK	PEAKS993024	SELEX_RawData/Phase3/YWC/JRK-FL_AffSeq_IVT_BatchYWCC_B03_Cycle1_R1.fastq.gz	10	NA	0	32	10	1280	0.0001167241371	0	0.0006808907997	NA	0.002217758605	0.979867	1.059844	0.979692	48.805562	1.371831	205633	65.7	313182
EXP993025	JRK	PEAKS993025	SELEX_RawData/Phase3/YWC/JRK-FL_AffSeq_IVT_BatchYWCC_B03_Cycle2_R1.fastq.gz	1	NA	0	31	8	130	0.0007328192237	0	0.0001363384602	NA	0.001763878829	0.982027	1.088141	0.981898	54.850536	0.6322655	117355	65.2	179928
EXP993026	JRK	PEAKS993026	SELEX_RawData/Phase3/YWC/JRK-FL_AffSeq_IVT_BatchYWCC_B03_Cycle3_R1.fastq.gz	8	NA	0	35	2	95	6.04E-05	0	0.000973920956	NA	0.002541436071	0.977746	1.073958	0.977542	44.123414	0.873554	281337	64.0	439551
EXP993027	FBXL19	PEAKS993027	SELEX_RawData/Phase3/YWC/FBXL19-DBD_AffSeq_IVT_BatchYWCC_B04_Cycle1_R1.fastq.gz	8	NA	0	35	1	240	4.36E-05	0	0.002643235785	NA	0.003403287101	0.979728	1.077783	0.979507	48.264987	1.072389	206566	66.1	312356
EXP993028	FBXL19	PEAKS993028	SELEX_RawData/Phase3/YWC/FBXL19-DBD_AffSeq_IVT_BatchYWCC_B04_Cycle2_R1.fastq.gz	0	NA	0	25	7	-100	0.0007144213639	0	0	NA	0.001510232503	0.981777	1.074252	0.981587	53.74151	0.8510193	110579	67.6	163696
EXP993029	FBXL19	PEAKS993029	SELEX_RawData/Phase3/YWC/FBXL19-DBD_AffSeq_IVT_BatchYWCC_B04_Cycle3_R1.fastq.gz	48	NA	0	44	4	85	0.0001784412393	0	0.00240640757	NA	0.0038135442	0.976296	1.054754	0.976014	41.196057	1.195963	196143	69.1	284051
EXP993030	GRHL3	PEAKS993030	SELEX_RawData/Phase3/YWC/GRHL3-DBD_AffSeq_IVT_BatchYWCC_B05_Cycle1_R1.fastq.gz	0	NA	0	27	7	865	0.0002282062985	0	0	NA	0.001106800548	0.978235	1.097436	0.977986	44.902636	1.801436	87643	65.8	133296
EXP993031	GRHL3	PEAKS993031	SELEX_RawData/Phase3/YWC/GRHL3-DBD_AffSeq_IVT_BatchYWCC_B05_Cycle2_R1.fastq.gz	0	NA	0	24	6	1030	0.0003852734875	0	0	NA	0.001031173158	0.979937	1.109866	0.979759	48.966899	1.578166	88254	57.0	154805
EXP993032	GRHL3	PEAKS993032	SELEX_RawData/Phase3/YWC/GRHL3-DBD_AffSeq_IVT_BatchYWCC_B05_Cycle3_R1.fastq.gz	61	NA	0	37	3	80	0.0001343674997	0	0.002066479479	NA	0.002525182323	0.973559	1.079941	0.973276	37.015631	0.7250501	215826	51.5	419302
EXP993033	MBD1	PEAKS993033	SELEX_RawData/Phase3/YWC/MBD1-DBD_AffSeq_IVT_BatchYWCC_B06_Cycle1_R1.fastq.gz	6	NA	0	35	7	1295	0.0001836130733	0	0.0006912492169	NA	0.001706521504	0.980027	1.038964	0.97988	49.339744	1.249243	185196	70.0	264541
EXP993034	MBD1	PEAKS993034	SELEX_RawData/Phase3/YWC/MBD1-DBD_AffSeq_IVT_BatchYWCC_B06_Cycle2_R1.fastq.gz	0	NA	0	18	5	340	0.0004521624363	0	0	NA	0.001185398819	0.98163	1.087931	0.981474	53.519427	0.8823813	81830	68.4	119624
EXP993035	MBD1	PEAKS993035	SELEX_RawData/Phase3/YWC/MBD1-DBD_AffSeq_IVT_BatchYWCC_B06_Cycle3_R1.fastq.gz	13	NA	0	42	3	-20	6.17E-05	0	0.001475055639	NA	0.002683691538	0.977012	1.060158	0.976731	42.451299	0.4600686	307785	69.6	442429
EXP993036	PURB	PEAKS993036	SELEX_RawData/Phase3/YWC/PURB-FL_AffSeq_IVT_BatchYWCC_B07_Cycle1_R1.fastq.gz	0	NA	0	22	6	80	0.0003388640046	0	0	NA	0.002612333418	0.979771	1.04031	0.979536	48.299595	0.9763057	162307	70.8	229271
EXP993037	PURB	PEAKS993037	SELEX_RawData/Phase3/YWC/PURB-FL_AffSeq_IVT_BatchYWCC_B07_Cycle2_R1.fastq.gz	0	NA	0	31	7	90	0.0006407753382	0	0	NA	0.002543077123	0.980642	1.04076	0.980486	50.831915	0.3830344	99879	67.1	148905
EXP993038	PURB	PEAKS993038	SELEX_RawData/Phase3/YWC/PURB-FL_AffSeq_IVT_BatchYWCC_B07_Cycle3_R1.fastq.gz	10	NA	0	41	2	80	3.19E-05	0	0.001050420168	NA	0.003105127186	0.976637	1.083341	0.97645	42.121851	0.8499931	281792	66.1	426470
EXP993039	SETBP1	PEAKS993039	SELEX_RawData/Phase3/YWC/SETBP1-DBD-3_AffSeq_IVT_BatchYWCC_C02_Cycle1_R1.fastq.gz	11	NA	0	45	8	260	0.000293779648	0	0.002125582159	NA	0.002380479206	0.981511	1.071851	0.981402	53.4284	0.949787	231468	71.4	324383
EXP993040	SETBP1	PEAKS993040	SELEX_RawData/Phase3/YWC/SETBP1-DBD-3_AffSeq_IVT_BatchYWCC_C02_Cycle2_R1.fastq.gz	0	NA	0	26	5	115	0.0005358099661	0	0	NA	0.002205751027	0.981147	1.078005	0.980949	51.940465	0.9376145	111980	68.5	163528
EXP993041	SETBP1	PEAKS993041	SELEX_RawData/Phase3/YWC/SETBP1-DBD-3_AffSeq_IVT_BatchYWCC_C02_Cycle3_R1.fastq.gz	8	NA	0	43	4	75	0.0001296739843	0	0.0007055790325	NA	0.002925292529	0.977553	1.074417	0.977289	43.50375	0.9138439	262196	72.3	362548
EXP993042	JRK	PEAKS993042	SELEX_RawData/Phase3/YWC/JRK-DBD_AffSeq_IVT_BatchYWCC_C03_Cycle1_R1.fastq.gz	14	NA	0	36	8	1495	0.0001773186689	0	0.001686800671	NA	0.002359702287	0.980826	1.055445	0.980647	51.189353	1.158757	219971	66.1	332774
EXP993043	JRK	PEAKS993043	SELEX_RawData/Phase3/YWC/JRK-DBD_AffSeq_IVT_BatchYWCC_C03_Cycle2_R1.fastq.gz	0	NA	0	21	3	1195	0.0002097947945	0	0	NA	0.001009637448	0.980971	1.1353	0.980857	51.929638	1.190156	76268	64.8	117645
EXP993044	JRK	PEAKS993044	SELEX_RawData/Phase3/YWC/JRK-DBD_AffSeq_IVT_BatchYWCC_C03_Cycle3_R1.fastq.gz	101	NA	14	82	14	115	0.001652060499	0.00216918747	0.005546529986	NA	0.003121067204	0.977629	1.128035	0.977555	44.314152	0.09914221	218515	66.4	329235
EXP993045	KDM2A	PEAKS993045	SELEX_RawData/Phase3/YWC/KDM2A-DBD_AffSeq_IVT_BatchYWCC_C04_Cycle1_R1.fastq.gz	10	NA	0	36	7	1365	0.0001367721766	0	0.001138139898	NA	0.002413051973	0.980982	1.066529	0.980793	51.548251	0.9528926	204739	71.0	288356
EXP993046	KDM2A	PEAKS993046	SELEX_RawData/Phase3/YWC/KDM2A-DBD_AffSeq_IVT_BatchYWCC_C04_Cycle2_R1.fastq.gz	0	NA	0	25	9	85	0.0007421988448	0	0	NA	0.001936170899	0.980446	1.200276	0.980232	50.032621	2.05498	92967	69.3	134166
EXP993047	KDM2A	PEAKS993047	SELEX_RawData/Phase3/YWC/KDM2A-DBD_AffSeq_IVT_BatchYWCC_C04_Cycle3_R1.fastq.gz	8	NA	0	41	2	-175	4.77E-05	0	0.003978648055	NA	0.002007210058	0.978124	1.049461	0.977912	44.820052	0.5235925	251606	75.1	334912
EXP993048	HMG20A	PEAKS993048	SELEX_RawData/Phase3/YWC/HMG20A-FL_AffSeq_IVT_BatchYWCC_C05_Cycle1_R1.fastq.gz	4	NA	0	43	6	80	0.0002549644521	0	0.0003579308654	NA	0.002579063496	0.980401	1.098279	0.980241	50.170782	1.163296	203950	68.1	299702
EXP993049	HMG20A	PEAKS993049	SELEX_RawData/Phase3/YWC/HMG20A-FL_AffSeq_IVT_BatchYWCC_C05_Cycle2_R1.fastq.gz	5	NA	0	21	7	635	0.0003614506218	0	0.001713543689	NA	0.000789836544	0.980682	1.138321	0.980425	50.40268	0.9425801	74701	65.2	114578
EXP993050	HMG20A	PEAKS993050	SELEX_RawData/Phase3/YWC/HMG20A-FL_AffSeq_IVT_BatchYWCC_C05_Cycle3_R1.fastq.gz	8	NA	0	39	1	75	4.49E-05	0	0.0009392974355	NA	0.002866541178	0.976926	1.090537	0.976635	42.251831	1.088061	267221	65.9	405337
EXP993051	DMTF1	PEAKS993051	SELEX_RawData/Phase3/YWC/DMTF1-DBD_AffSeq_IVT_BatchYWCC_C06_Cycle1_R1.fastq.gz	2	NA	0	37	8	100	0.0004650186858	0	0.0002495222217	NA	0.002699376762	0.98064	1.048911	0.980415	50.417563	2.338875	176337	69.2	254685
EXP993052	DMTF1	PEAKS993052	SELEX_RawData/Phase3/YWC/DMTF1-DBD_AffSeq_IVT_BatchYWCC_C06_Cycle2_R1.fastq.gz	0	NA	0	25	13	125	0.001432191253	0	0	NA	0.001790239066	0.979719	1.100814	0.979539	48.442039	0.891691	72616	66.9	108501
EXP993053	DMTF1	PEAKS993053	SELEX_RawData/Phase3/YWC/DMTF1-DBD_AffSeq_IVT_BatchYWCC_C06_Cycle3_R1.fastq.gz	9	NA	0	38	4	75	0.000115239961	0	0.0008311245674	NA	0.002950841426	0.976705	1.083622	0.976458	42.022566	1.008049	286359	71.3	401848
EXP993054	SMYD3	PEAKS993054	SELEX_RawData/Phase3/YWC/SMYD3-FL_AffSeq_IVT_BatchYWCC_C07_Cycle1_R1.fastq.gz	15	NA	0	39	9	-15	0.0004591388694	0	0.002603272813	NA	0.002897478302	0.98004	1.024911	0.979894	49.376928	2.737218	224333	73.0	307249
EXP993055	SMYD3	PEAKS993055	SELEX_RawData/Phase3/YWC/SMYD3-FL_AffSeq_IVT_BatchYWCC_C07_Cycle2_R1.fastq.gz	4	NA	0	29	6	390	0.0004875076173	0	0.001249238269	NA	0.001411740808	0.979739	1.069265	0.97956	48.491237	1.02035	98469	70.7	139340
EXP993056	SMYD3	PEAKS993056	SELEX_RawData/Phase3/YWC/SMYD3-FL_AffSeq_IVT_BatchYWCC_C07_Cycle3_R1.fastq.gz	8	NA	0	29	1	90	1.78E-05	0	0.000956526068	NA	0.002887357499	0.976244	1.081025	0.976006	41.261831	0.644205	281226	72.8	386562
EXP993057	USF3	PEAKS993057	SELEX_RawData/Phase3/YWC/USF3-DBD_AffSeq_IVT_BatchYWCC_D02_Cycle1_R1.fastq.gz	0	NA	0	39	8	75	0.0004435618013	0	0	NA	0.002968839783	0.979689	1.119272	0.979511	48.355958	1.278917	198394	70.2	282681
EXP993058	USF3	PEAKS993058	SELEX_RawData/Phase3/YWC/USF3-DBD_AffSeq_IVT_BatchYWCC_D02_Cycle2_R1.fastq.gz	0	NA	0	0	0	-490	0	0	0	NA	0	0.981717	11.37798	0.981376	52.694915	0.960801	3241	16.7	19430
EXP993059	USF3	PEAKS993059	SELEX_RawData/Phase3/YWC/USF3-DBD_AffSeq_IVT_BatchYWCC_D02_Cycle3_R1.fastq.gz	0	NA	0	0	0	5	0	0	0	NA	0	0.97858	3.122983	0.978371	45.786585	1.944365	7877	16.0	49246
EXP993060	TIGD3	PEAKS993060	SELEX_RawData/Phase3/YWC/TIGD3-FL_AffSeq_IVT_BatchYWCC_D03_Cycle1_R1.fastq.gz	5	NA	0	37	5	430	0.0001411246267	0	0.003514458446	NA	0.002376356617	0.978998	1.048522	0.978846	46.935946	1.077797	219674	71.9	305404
EXP993061	TIGD3	PEAKS993061	SELEX_RawData/Phase3/YWC/TIGD3-FL_AffSeq_IVT_BatchYWCC_D03_Cycle2_R1.fastq.gz	0	NA	0	0	NA	1340	NA	0	0	NA	0	0.982688	13.04931	0.982802	58.575	Inf	2438	17.2	14189
EXP993062	TIGD3	PEAKS993062	SELEX_RawData/Phase3/YWC/TIGD3-FL_AffSeq_IVT_BatchYWCC_D03_Cycle3_R1.fastq.gz	0	NA	0	0	0	1300	0	0	0	NA	0	0.976793	4.478733	0.976775	43.047059	Inf	7699	26.0	29605
EXP993063	TET3	PEAKS993063	SELEX_RawData/Phase3/YWC/TET3-DBD_AffSeq_IVT_BatchYWCC_D04_Cycle1_R1.fastq.gz	62	NA	0	36	6	-175	0.0003302291791	0	0.001453008388	NA	0.002504661312	0.981084	1.070144	0.980906	51.882952	0.8435134	196843	66.0	298257
EXP993064	TET3	PEAKS993064	SELEX_RawData/Phase3/YWC/TET3-DBD_AffSeq_IVT_BatchYWCC_D04_Cycle2_R1.fastq.gz	0	NA	0	0	0	-40	0	0	0	NA	0	0.978038	10.45454	0.977545	43.533333	Inf	3428	27.9	12292
EXP993065	TET3	PEAKS993065	SELEX_RawData/Phase3/YWC/TET3-DBD_AffSeq_IVT_BatchYWCC_D04_Cycle3_R1.fastq.gz	2774	NA	0	2	1	85	0.0031045188	0	0.9927561228	NA	0.003449465333	0.975035	47.63172	0.974395	38.055556	1.34795	2899	25.5	11388
EXP993066	HMG20A	PEAKS993066	SELEX_RawData/Phase3/YWC/HMG20A-DBD_AffSeq_IVT_BatchYWCC_D05_Cycle1_R1.fastq.gz	8	NA	0	42	4	935	4.58E-06	0	0.000975167564	NA	0.00205105666	0.979987	1.094513	0.979785	48.956624	1.199612	218442	67.7	322530
EXP993067	HMG20A	PEAKS993067	SELEX_RawData/Phase3/YWC/HMG20A-DBD_AffSeq_IVT_BatchYWCC_D05_Cycle2_R1.fastq.gz	0	NA	0	NA	0	1145	0	0	0	NA	NA	0.974831	12.55075	0.974843	39.797297	Inf	3111	18.8	16547
EXP993068	HMG20A	PEAKS993068	SELEX_RawData/Phase3/YWC/HMG20A-DBD_AffSeq_IVT_BatchYWCC_D05_Cycle3_R1.fastq.gz	0	NA	0	0	0	-65	0	0	0	NA	0	0.974819	6.354044	0.974387	38.37069	1.036529	4707	16.6	28414
EXP993069	MSANTD4	PEAKS993069	SELEX_RawData/Phase3/YWC/MSANTD4-FL_AffSeq_IVT_BatchYWCC_D06_Cycle1_R1.fastq.gz	0	NA	0	32	7	90	0.0005816948927	0	0	NA	0.002692416361	0.9806	1.118525	0.980446	50.735683	1.538452	120338	70.7	170329
EXP993070	MSANTD4	PEAKS993070	SELEX_RawData/Phase3/YWC/MSANTD4-FL_AffSeq_IVT_BatchYWCC_D06_Cycle2_R1.fastq.gz	1	NA	0	0	0	125	0	0	0.0008665511265	NA	0	0.979974	21.33863	0.979565	47.934783	Inf	2308	15.9	14553
EXP993071	MSANTD4	PEAKS993071	SELEX_RawData/Phase3/YWC/MSANTD4-FL_AffSeq_IVT_BatchYWCC_D06_Cycle3_R1.fastq.gz	0	NA	0	0	0	1375	0	0	0	NA	0	0.972981	11.1821	0.972547	35.837209	Inf	3271	18.4	17731
EXP993072	TCF20	PEAKS993072	SELEX_RawData/Phase3/YWC/TCF20-DBD_AffSeq_IVT_BatchYWCC_D07_Cycle1_R1.fastq.gz	13	NA	0	34	4	220	0.0001794193489	0	0.003262928624	NA	0.002758050922	0.979888	1.05967	0.979714	48.873453	1.019014	239668	72.0	332732
EXP993073	TCF20	PEAKS993073	SELEX_RawData/Phase3/YWC/TCF20-DBD_AffSeq_IVT_BatchYWCC_D07_Cycle2_R1.fastq.gz	0	NA	0	0	0	-40	0	0	0	NA	0	0.976357	22.33221	0.975785	40.296296	Inf	2298	13.2	17445
EXP993074	TCF20	PEAKS993074	SELEX_RawData/Phase3/YWC/TCF20-DBD_AffSeq_IVT_BatchYWCC_D07_Cycle3_R1.fastq.gz	0	NA	0	0	0	475	0	0	0	NA	0	0.978868	7.33611	0.978586	46.07377	Inf	5887	15.6	37854
EXP993075	CREB3L3	PEAKS993075	SELEX_RawData/Phase3/YWC/CREB3L3-DBD_AffSeq_IVT_BatchYWCC_E02_Cycle1_R1.fastq.gz	7	NA	0	42	7	105	0.000403875711	0	0.0006619074152	NA	0.003245964048	0.978472	1.061114	0.978228	45.403956	0.8597167	267409	70.1	381242
EXP993076	CREB3L3	PEAKS993076	SELEX_RawData/Phase3/YWC/CREB3L3-DBD_AffSeq_IVT_BatchYWCC_E02_Cycle2_R1.fastq.gz	2	NA	0	31	2	-180	0.0001576896218	0	6.76E-05	NA	0.001892275461	0.979979	1.060185	0.979717	48.652141	4.293768	133177	69.3	192195
EXP993077	CREB3L3	PEAKS993077	SELEX_RawData/Phase3/YWC/CREB3L3-DBD_AffSeq_IVT_BatchYWCC_E02_Cycle3_R1.fastq.gz	7	NA	0	31	1	90	4.55E-05	0	0.0007538425734	NA	0.002408248758	0.978049	1.05461	0.977811	44.568553	0.6339164	197654	67.8	291359
EXP993078	TIGD3	PEAKS993078	SELEX_RawData/Phase3/YWC/TIGD3-DBD_AffSeq_IVT_BatchYWCC_E03_Cycle1_R1.fastq.gz	NA	NA	0	NA	0	NA	NA	NA	NA	NA	NA	0.984668	NA	0.985294	71.1875	NA	1180	40.1	2946
EXP993079	TIGD3	PEAKS993079	SELEX_RawData/Phase3/YWC/TIGD3-DBD_AffSeq_IVT_BatchYWCC_E03_Cycle2_R1.fastq.gz	11	NA	0	25	3	75	0.0002366303833	0	0.0005600252406	NA	0.002263764001	0.980431	1.12025	0.980202	49.918141	0.9736243	126780	70.6	179701
EXP993080	TIGD3	PEAKS993080	SELEX_RawData/Phase3/YWC/TIGD3-DBD_AffSeq_IVT_BatchYWCC_E03_Cycle3_R1.fastq.gz	116	NA	2	65	9	75	0.0006229293367	0.0001522716156	0.003557618657	NA	0.003211546803	0.977142	1.180871	0.976968	43.064786	0.6295978	216718	69.0	313956
EXP993081	DMRTB1	PEAKS993081	SELEX_RawData/Phase3/YWC/DMRTB1-FL_AffSeq_IVT_BatchYWCC_E04_Cycle1_R1.fastq.gz	1	NA	0	37	3	80	0.000114131908	0	0.0001711978619	NA	0.003010229072	0.97693	1.040346	0.976718	42.550277	1.24728	210283	74.8	281065
EXP993082	DMRTB1	PEAKS993082	SELEX_RawData/Phase3/YWC/DMRTB1-FL_AffSeq_IVT_BatchYWCC_E04_Cycle2_R1.fastq.gz	6	NA	0	34	3	560	0.0001126416066	0	0.003757402163	NA	0.001721807415	0.980311	1.068576	0.980055	49.486464	1.516407	124297	72.3	171861
EXP993083	DMRTB1	PEAKS993083	SELEX_RawData/Phase3/YWC/DMRTB1-FL_AffSeq_IVT_BatchYWCC_E04_Cycle3_R1.fastq.gz	9	NA	0	35	1	200	3.32E-05	0	0.001569286196	NA	0.002293147082	0.977461	1.124098	0.977236	43.482314	0.9072023	180976	71.1	254383
EXP993084	LEUTX	PEAKS993084	SELEX_RawData/Phase3/YWC/LEUTX-FL_AffSeq_IVT_BatchYWCC_E05_Cycle1_R1.fastq.gz	14	NA	0	54	7	80	0.0001835605345	0	0.001379403428	NA	0.00337967337	0.977813	1.07863	0.977628	44.331405	0.7499488	370450	70.0	528924
EXP993085	LEUTX	PEAKS993085	SELEX_RawData/Phase3/YWC/LEUTX-FL_AffSeq_IVT_BatchYWCC_E05_Cycle2_R1.fastq.gz	1	NA	0	27	4	-290	0.0001552862011	0	5.18E-05	NA	0.0009921062848	0.980584	1.046333	0.980359	50.321088	1.093307	115917	67.9	170661
