EXP_ID	TF	ReadsID	FilePath	Peaks (/mnt/space/ivanyev/egrid/dfs/ctrl-subsampled0.1/peaks-interval/)	macs2-pemode-peak-count	gem-peak-count	sissrs-peak-count	cpics-peak-count	QC.estFragLen	QC.FRiP_CPICS	QC.FRiP_GEM	QC.FRiP_MACS2-PEMODE	QC.FRiP_SISSRS	QC.NRF	QC.NSC	QC.PBC1	QC.PBC2	QC.RSC	readAlignedCount	alignPercent	readCount
EXP992010	POGK	READS992020,READS992021	DIANA_0293/Sample_13611_POGK_ChIP1_RMSK_IGO_10521_B_176/13611_POGK_ChIP1_RMSK_IGO_10521_B_176_S85_R1_001.fastq.gz,DIANA_0293/Sample_13611_POGK_ChIP1_RMSK_IGO_10521_B_176/13611_POGK_ChIP1_RMSK_IGO_10521_B_176_S85_R2_001.fastq.gz	PEAKS992010	85	53	253	1533	205	1.94E-03	1.42E-04	2.75E-04	1.84E-04	0.99883	1.00919	0.99900	1070.61230	1.08578	16110380	89.88319589	17923684
EXP992011	CASZ1	READS992022,READS992023	DIANA_0293/Sample_13620_CASZ1_ChIP1_IGO_10521_B_71/13620_CASZ1_ChIP1_IGO_10521_B_71_S27_R1_001.fastq.gz,DIANA_0293/Sample_13620_CASZ1_ChIP1_IGO_10521_B_71/13620_CASZ1_ChIP1_IGO_10521_B_71_S27_R2_001.fastq.gz	PEAKS992011	85	6	157	2156	155	2.27E-03	1.43E-05	2.79E-04	1.37E-04	0.99883	1.00890	0.99898	1040.01845	1.13321	17016690	89.65047846	18981148
EXP992012	CASZ1	READS992024,READS992025	DIANA_0293/Sample_13620_CASZ1_ChIP2_IGO_10521_B_9/13620_CASZ1_ChIP2_IGO_10521_B_9_S139_R1_001.fastq.gz,DIANA_0293/Sample_13620_CASZ1_ChIP2_IGO_10521_B_9/13620_CASZ1_ChIP2_IGO_10521_B_9_S139_R2_001.fastq.gz	PEAKS992012	22	2	58	228	165	2.66E-04	6.90E-06	8.51E-05	3.22E-05	0.99874	1.00886	0.99886	922.47166	1.32195	19249856	90.30109283	21317412
EXP992013	CPXCR1	READS992026,READS992027	DIANA_0293/Sample_13623_CPXCR1_ChIP1_IGO_10521_B_79/13623_CPXCR1_ChIP1_IGO_10521_B_79_S34_R1_001.fastq.gz,DIANA_0293/Sample_13623_CPXCR1_ChIP1_IGO_10521_B_79/13623_CPXCR1_ChIP1_IGO_10521_B_79_S34_R2_001.fastq.gz	PEAKS992013	51460	21958	23566	43301	210	8.52E-02	5.59E-02	1.64E-01	3.50E-02	0.99508	1.22924	0.99526	217.86160	1.82840	19991094	90.20776342	22161168
EXP992014	CPXCR1	READS992028,READS992029	DIANA_0293/Sample_13623_CPXCR1_ChIP2_IGO_10521_B_17/13623_CPXCR1_ChIP2_IGO_10521_B_17_S43_R1_001.fastq.gz,DIANA_0293/Sample_13623_CPXCR1_ChIP2_IGO_10521_B_17/13623_CPXCR1_ChIP2_IGO_10521_B_17_S43_R2_001.fastq.gz	PEAKS992014	10	0	3	68	160	6.38E-05	0.00E+00	2.90E-03	1.06E-06	0.99864	1.00721	0.99885	925.36705	1.13048	21031758	90.14929327	23329920
EXP992015	CONTROL	READS992030,READS992031	DIANA_0293/Sample_13635_PRDM13_Input1_RMSK_IGO_10521_B_104/13635_PRDM13_Input1_RMSK_IGO_10521_B_104_S94_R1_001.fastq.gz,DIANA_0293/Sample_13635_PRDM13_Input1_RMSK_IGO_10521_B_104/13635_PRDM13_Input1_RMSK_IGO_10521_B_104_S94_R2_001.fastq.gz	CONTROL	NA	NA	NA	NA	205	NA		NA	NA	0.99894	1.00983	0.99913	1240.44245	1.12186	14509692	89.87949079	16143496
EXP992016	PRDM5	READS992032,READS992033	DIANA_0293/Sample_13637_PRDM5_ChIP1_IGO_10521_B_87/13637_PRDM5_ChIP1_IGO_10521_B_87_S114_R1_001.fastq.gz,DIANA_0293/Sample_13637_PRDM5_ChIP1_IGO_10521_B_87/13637_PRDM5_ChIP1_IGO_10521_B_87_S114_R2_001.fastq.gz	PEAKS992015	1	0	2	481	170	4.60E-04	0.00E+00	4.87E-06	5.27E-07	0.99886	1.00888	0.99904	1104.54192	1.18163	16601910	89.44769065	18560468
EXP992017	PRDM5	READS992034,READS992035	DIANA_0293/Sample_13637_PRDM5_ChIP2_IGO_10521_B_25/13637_PRDM5_ChIP2_IGO_10521_B_25_S51_R1_001.fastq.gz,DIANA_0293/Sample_13637_PRDM5_ChIP2_IGO_10521_B_25/13637_PRDM5_ChIP2_IGO_10521_B_25_S51_R2_001.fastq.gz	PEAKS992016	44073	18128	26758	59652	235	1.09E-01	6.16E-02	1.95E-01	4.66E-02	0.99486	1.30711	0.99507	209.79630	1.73832	15534636	89.66332782	17325518
EXP992018	PRDM8	READS992036,READS992037	DIANA_0293/Sample_13638_PRDM8_ChIP1_IGO_10521_B_95/13638_PRDM8_ChIP1_IGO_10521_B_95_S122_R1_001.fastq.gz,DIANA_0293/Sample_13638_PRDM8_ChIP1_IGO_10521_B_95/13638_PRDM8_ChIP1_IGO_10521_B_95_S122_R2_001.fastq.gz	PEAKS992017	4	0	8	19	215	2.84E-05	0.00E+00	4.47E-05	3.49E-06	0.99895	1.00580	0.99910	1175.22508	1.15932	16276882	89.67141142	18151696
EXP992019	PRDM8	READS992038,READS992039	DIANA_0293/Sample_13638_PRDM8_ChIP2_IGO_10521_B_33/13638_PRDM8_ChIP2_IGO_10521_B_33_S58_R1_001.fastq.gz,DIANA_0293/Sample_13638_PRDM8_ChIP2_IGO_10521_B_33/13638_PRDM8_ChIP2_IGO_10521_B_33_S58_R2_001.fastq.gz	PEAKS992018	10	0	9	166	165	1.73E-04	0.00E+00	6.86E-05	4.76E-06	0.99876	1.00655	0.99897	1030.15964	1.34582	18761628	89.76225878	20901466
EXP992020	PRMT3	READS992040,READS992041	DIANA_0293/Sample_13639_PRMT3_ChIP1_IGO_10521_B_8/13639_PRMT3_ChIP1_IGO_10521_B_8_S138_R1_001.fastq.gz,DIANA_0293/Sample_13639_PRMT3_ChIP1_IGO_10521_B_8/13639_PRMT3_ChIP1_IGO_10521_B_8_S138_R2_001.fastq.gz	PEAKS992019	20	0	4	3	190	4.17E-06	0.00E+00	6.17E-04	1.65E-06	0.99829	1.00779	0.99854	735.90507	0.96048	25246514	89.96195919	28063544
EXP992021	PRMT3	READS992042,READS992043	DIANA_0293/Sample_13639_PRMT3_ChIP2_IGO_10521_B_41/13639_PRMT3_ChIP2_IGO_10521_B_41_S1_R1_001.fastq.gz,DIANA_0293/Sample_13639_PRMT3_ChIP2_IGO_10521_B_41/13639_PRMT3_ChIP2_IGO_10521_B_41_S1_R2_001.fastq.gz	PEAKS992020	1	0	0	175	140	1.72E-04	0.00E+00	2.10E-06	0.00E+00	0.99881	1.00847	0.99900	1074.14465	1.13322	17782798	89.98623903	19761686
EXP992022	CONTROL	READS992044,READS992045	DIANA_0293/Sample_13639_PRMT3_INPUT2_IGO_10521_B_118/13639_PRMT3_INPUT2_IGO_10521_B_118_S153_R1_001.fastq.gz,DIANA_0293/Sample_13639_PRMT3_INPUT2_IGO_10521_B_118/13639_PRMT3_INPUT2_IGO_10521_B_118_S153_R2_001.fastq.gz	CONTROL	NA	NA	NA	NA	245	NA	NA	NA	NA	0.99889	1.00626	0.99908	1163.24950	0.95120	16427800	90.40601534	18171136
EXP992023	RBSN	READS992046,READS992047	DIANA_0293/Sample_13640_RBSN_ChIP1_IGO_10521_B_16/13640_RBSN_ChIP1_IGO_10521_B_16_S161_R1_001.fastq.gz,DIANA_0293/Sample_13640_RBSN_ChIP1_IGO_10521_B_16/13640_RBSN_ChIP1_IGO_10521_B_16_S161_R2_001.fastq.gz	PEAKS992021	10309	3610	7637	11279	245	1.87E-02	8.79E-03	4.00E-02	1.29E-02	0.99816	1.04545	0.99833	623.07379	1.32882	19239762	86.26086793	22304160
EXP992024	RBSN	READS992048,READS992049	DIANA_0293/Sample_13640_RBSN_ChIP2_IGO_10521_B_49/13640_RBSN_ChIP2_IGO_10521_B_49_S9_R1_001.fastq.gz,DIANA_0293/Sample_13640_RBSN_ChIP2_IGO_10521_B_49/13640_RBSN_ChIP2_IGO_10521_B_49_S9_R2_001.fastq.gz	PEAKS992022	18	0	5	2687	165	2.46E-03	0.00E+00	6.53E-04	8.81E-06	0.99886	1.01634	0.99907	1186.45133	1.09926	13986478	89.54426816	15619624
EXP992025	RLF	READS992050,READS992051	DIANA_0293/Sample_13641_RLF_ChIP1_IGO_10521_B_24/13641_RLF_ChIP1_IGO_10521_B_24_S50_R1_001.fastq.gz,DIANA_0293/Sample_13641_RLF_ChIP1_IGO_10521_B_24/13641_RLF_ChIP1_IGO_10521_B_24_S50_R2_001.fastq.gz	PEAKS992023	6	0	2	128	220	1.19E-04	0.00E+00	1.62E-04	3.17E-06	0.99865	1.00807	0.99880	880.07380	1.19873	20573314	89.62192783	22955670
EXP992026	RLF	READS992052,READS992053	DIANA_0293/Sample_13641_RLF_ChIP2_IGO_10521_B_57/13641_RLF_ChIP2_IGO_10521_B_57_S15_R1_001.fastq.gz,DIANA_0293/Sample_13641_RLF_ChIP2_IGO_10521_B_57/13641_RLF_ChIP2_IGO_10521_B_57_S15_R2_001.fastq.gz	PEAKS992024	14287	8859	11997	19489	195	4.20E-02	2.77E-02	8.00E-02	2.92E-02	0.99681	1.16610	0.99700	346.11745	1.35066	17333252	89.51273822	19364006
EXP992027	CONTROL	READS992054,READS992055	DIANA_0293/Sample_13641_RLF_INPUT1_IGO_10521_B_182/13641_RLF_INPUT1_IGO_10521_B_182_S90_R1_001.fastq.gz,DIANA_0293/Sample_13641_RLF_INPUT1_IGO_10521_B_182/13641_RLF_INPUT1_IGO_10521_B_182_S90_R2_001.fastq.gz	CONTROL	NA	NA	NA	NA	175	NA	NA	NA	NA	0.99874	1.00795	0.99896	1020.32742	1.01574	18011802	90.52016498	19898110
EXP992028	SALL3	READS992056,READS992057	DIANA_0293/Sample_13642_SALL3_ChIP1_IGO_10521_B_32/13642_SALL3_ChIP1_IGO_10521_B_32_S57_R1_001.fastq.gz,DIANA_0293/Sample_13642_SALL3_ChIP1_IGO_10521_B_32/13642_SALL3_ChIP1_IGO_10521_B_32_S57_R2_001.fastq.gz	PEAKS992025	2121	15	461	1513	220	1.83E-03	3.08E-05	4.32E-03	4.99E-04	0.99832	1.00873	0.99882	909.86334	1.09828	19015876	89.36571173	21278716
EXP992029	SALL3	READS992058,READS992059	DIANA_0293/Sample_13642_SALL3_ChIP2_IGO_10521_B_65/13642_SALL3_ChIP2_IGO_10521_B_65_S22_R1_001.fastq.gz,DIANA_0293/Sample_13642_SALL3_ChIP2_IGO_10521_B_65/13642_SALL3_ChIP2_IGO_10521_B_65_S22_R2_001.fastq.gz	PEAKS992026	4	0	6	674	150	6.61E-04	0.00E+00	3.38E-05	2.48E-06	0.99882	1.01006	0.99899	1064.20175	1.28325	16870966	89.87876065	18770804
EXP992030	CONTROL	READS992060,READS992061	DIANA_0293/Sample_13642_SALL3_INPUT1_IGO_10521_B_168/13642_SALL3_INPUT1_IGO_10521_B_168_S146_R1_001.fastq.gz,DIANA_0293/Sample_13642_SALL3_INPUT1_IGO_10521_B_168/13642_SALL3_INPUT1_IGO_10521_B_168_S146_R2_001.fastq.gz	CONTROL	NA	NA	NA	NA	175	NA	NA	NA	NA	0.99865	1.00841	0.99885	924.94359	1.15493	19548840	89.83015441	21762002
EXP992031	SLC2A4RG	READS992062,READS992063	DIANA_0293/Sample_13643_SLC2A4RG_ChIP1_IGO_10521_B_40/13643_SLC2A4RG_ChIP1_IGO_10521_B_40_S60_R1_001.fastq.gz,DIANA_0293/Sample_13643_SLC2A4RG_ChIP1_IGO_10521_B_40/13643_SLC2A4RG_ChIP1_IGO_10521_B_40_S60_R2_001.fastq.gz	PEAKS992027	5934	272	3179	7380	240	9.82E-03	5.94E-04	1.46E-02	3.36E-03	0.99844	1.01983	0.99855	720.36168	1.23942	20714200	86.57977174	23924988
EXP992032	SLC2A4RG	READS992064,READS992065	DIANA_0293/Sample_13643_SLC2A4RG_ChIP2_IGO_10521_B_73/13643_SLC2A4RG_ChIP2_IGO_10521_B_73_S29_R1_001.fastq.gz,DIANA_0293/Sample_13643_SLC2A4RG_ChIP2_IGO_10521_B_73/13643_SLC2A4RG_ChIP2_IGO_10521_B_73_S29_R2_001.fastq.gz	PEAKS992028	1140	54	611	7614	175	8.38E-03	1.36E-04	2.44E-03	5.88E-04	0.99887	1.01560	0.99902	1096.82476	1.19662	14969406	85.75119481	17456790
EXP992033	CONTROL	READS992066,READS992067	DIANA_0293/Sample_13650_ZBTB5_Input1_RMSK_IGO_10521_B_112/13650_ZBTB5_Input1_RMSK_IGO_10521_B_112_S152_R1_001.fastq.gz,DIANA_0293/Sample_13650_ZBTB5_Input1_RMSK_IGO_10521_B_112/13650_ZBTB5_Input1_RMSK_IGO_10521_B_112_S152_R2_001.fastq.gz	CONTROL	NA	NA	NA	NA	175	NA	NA	NA	NA	0.99879	1.01253	0.99902	1115.06444	1.20419	16349774	89.95035442	18176442
EXP992034	ZFAT1	READS992068,READS992069	DIANA_0293/Sample_13653_ZFAT1_ChIP1_IGO_10521_B_48/13653_ZFAT1_ChIP1_IGO_10521_B_48_S8_R1_001.fastq.gz,DIANA_0293/Sample_13653_ZFAT1_ChIP1_IGO_10521_B_48/13653_ZFAT1_ChIP1_IGO_10521_B_48_S8_R2_001.fastq.gz	PEAKS992029	9281	2952	5487	10206	245	1.73E-02	9.33E-03	3.35E-02	7.80E-03	0.99786	1.07463	0.99815	585.20076	1.77781	17358956	87.44814003	19850572
EXP992035	ZFAT1	READS992070,READS992071	DIANA_0293/Sample_13653_ZFAT1_ChIP2_IGO_10521_B_81/13653_ZFAT1_ChIP2_IGO_10521_B_81_S35_R1_001.fastq.gz,DIANA_0293/Sample_13653_ZFAT1_ChIP2_IGO_10521_B_81/13653_ZFAT1_ChIP2_IGO_10521_B_81_S35_R2_001.fastq.gz	PEAKS992030	13425	5807	10585	24718	205	4.69E-02	2.16E-02	6.60E-02	2.12E-02	0.99658	1.19171	0.99704	373.91053	1.67665	14195940	79.80283736	17788766
EXP992036	ZFPM1	READS992072,READS992073	DIANA_0293/Sample_13655_ZFPM1_ChIP1_IGO_10521_B_56/13655_ZFPM1_ChIP1_IGO_10521_B_56_S14_R1_001.fastq.gz,DIANA_0293/Sample_13655_ZFPM1_ChIP1_IGO_10521_B_56/13655_ZFPM1_ChIP1_IGO_10521_B_56_S14_R2_001.fastq.gz	PEAKS992031	17	2	21	1602	165	1.44E-03	1.15E-05	2.79E-04	1.48E-05	0.99866	1.01022	0.99887	952.29011	1.01117	19099446	89.24516864	21401098
EXP992037	ZFPM1	READS992074,READS992075	DIANA_0293/Sample_13655_ZFPM1_ChIP2_IGO_10521_B_89/13655_ZFPM1_ChIP2_IGO_10521_B_89_S116_R1_001.fastq.gz,DIANA_0293/Sample_13655_ZFPM1_ChIP2_IGO_10521_B_89/13655_ZFPM1_ChIP2_IGO_10521_B_89_S116_R2_001.fastq.gz	PEAKS992032	10	0	14	667	175	6.26E-04	0.00E+00	5.67E-05	1.29E-05	0.99875	1.01146	0.99894	1017.35656	1.28810	17596290	89.62892829	19632378
EXP992038	ZFPM2	READS992076,READS992077	DIANA_0293/Sample_13656_ZFPM2_ChIP1_IGO_10521_B_64/13656_ZFPM2_ChIP1_IGO_10521_B_64_S21_R1_001.fastq.gz,DIANA_0293/Sample_13656_ZFPM2_ChIP1_IGO_10521_B_64/13656_ZFPM2_ChIP1_IGO_10521_B_64_S21_R2_001.fastq.gz	PEAKS992033	24	0	9	103	160	1.00E-04	0.00E+00	5.64E-04	5.69E-06	0.99841	1.00896	0.99865	796.13019	1.07415	22255646	88.98188013	25011436
EXP992039	ZFPM2	READS992078,READS992079	DIANA_0293/Sample_13656_ZFPM2_ChIP2_IGO_10521_B_3/13656_ZFPM2_ChIP2_IGO_10521_B_3_S59_R1_001.fastq.gz,DIANA_0293/Sample_13656_ZFPM2_ChIP2_IGO_10521_B_3/13656_ZFPM2_ChIP2_IGO_10521_B_3_S59_R2_001.fastq.gz	PEAKS992034	577	37	512	2972	175	3.25E-03	9.51E-05	1.39E-03	3.34E-04	0.99848	1.01381	0.99873	846.18141	1.09342	20034736	89.80665965	22308742
EXP992040	ZMAT1	READS992080,READS992081	DIANA_0293/Sample_13658_ZMAT1_ChIP1_IGO_10521_B_72/13658_ZMAT1_ChIP1_IGO_10521_B_72_S28_R1_001.fastq.gz,DIANA_0293/Sample_13658_ZMAT1_ChIP1_IGO_10521_B_72/13658_ZMAT1_ChIP1_IGO_10521_B_72_S28_R2_001.fastq.gz	PEAKS992035	16	1	7	166	160	1.72E-04	3.10E-06	2.56E-03	5.86E-06	0.99865	1.00978	0.99891	974.79135	1.13111	19247558	89.93888426	21400708
EXP992041	ZMAT1	READS992082,READS992083	DIANA_0293/Sample_13658_ZMAT1_ChIP2_IGO_10521_B_11/13658_ZMAT1_ChIP2_IGO_10521_B_11_S40_R1_001.fastq.gz,DIANA_0293/Sample_13658_ZMAT1_ChIP2_IGO_10521_B_11/13658_ZMAT1_ChIP2_IGO_10521_B_11_S40_R2_001.fastq.gz	PEAKS992036	6	1	10	11	180	1.54E-05	2.04E-06	4.97E-05	1.58E-05	0.99894	1.00897	0.99904	1100.23057	1.32678	16151894	89.66746653	18013104
EXP992042	ZMAT4	READS992084,READS992085	DIANA_0293/Sample_13659_ZMAT4_ChIP1_IGO_10521_B_80/13659_ZMAT4_ChIP1_IGO_10521_B_80_S126_R1_001.fastq.gz,DIANA_0293/Sample_13659_ZMAT4_ChIP1_IGO_10521_B_80/13659_ZMAT4_ChIP1_IGO_10521_B_80_S126_R2_001.fastq.gz	PEAKS992037	9	0	6	82	160	8.88E-05	0.00E+00	8.66E-05	5.06E-06	0.99857	1.00966	0.99873	825.89414	1.19505	22109410	89.73116863	24639610
EXP992043	ZMAT4	READS992086,READS992087	DIANA_0293/Sample_13659_ZMAT4_ChIP2_IGO_10521_B_19/13659_ZMAT4_ChIP2_IGO_10521_B_19_S45_R1_001.fastq.gz,DIANA_0293/Sample_13659_ZMAT4_ChIP2_IGO_10521_B_19/13659_ZMAT4_ChIP2_IGO_10521_B_19_S45_R2_001.fastq.gz	PEAKS992038	14	0	4	2192	190	1.86E-03	0.00E+00	2.35E-04	2.46E-06	0.99879	1.01104	0.99898	1061.83400	1.38988	16925298	89.78139662	18851676
EXP992044	ZNF107	READS992088,READS992089	DIANA_0293/Sample_13660_ZNF107_ChIP1_IGO_10521_B_88/13660_ZNF107_ChIP1_IGO_10521_B_88_S115_R1_001.fastq.gz,DIANA_0293/Sample_13660_ZNF107_ChIP1_IGO_10521_B_88/13660_ZNF107_ChIP1_IGO_10521_B_88_S115_R2_001.fastq.gz	PEAKS992039	5203	2985	3916	16739	205	3.09E-02	1.35E-02	2.23E-02	5.06E-03	0.99719	1.17361	0.99763	478.76878	2.25095	14913622	85.34767498	17473964
EXP992045	ZNF107	READS992090,READS992091	DIANA_0293/Sample_13660_ZNF107_ChIP2_IGO_10521_B_27/13660_ZNF107_ChIP2_IGO_10521_B_27_S52_R1_001.fastq.gz,DIANA_0293/Sample_13660_ZNF107_ChIP2_IGO_10521_B_27/13660_ZNF107_ChIP2_IGO_10521_B_27_S52_R2_001.fastq.gz	PEAKS992040	17023	9030	11669	36073	195	8.19E-02	4.08E-02	6.89E-02	1.65E-02	0.99448	1.50567	0.99542	252.03740	2.27645	12909698	87.4974533	14754370
EXP992046	CONTROL	READS992092,READS992093	DIANA_0293/Sample_13660_ZNF107_INPUT2_IGO_10521_B_126/13660_ZNF107_INPUT2_IGO_10521_B_126_S106_R1_001.fastq.gz,DIANA_0293/Sample_13660_ZNF107_INPUT2_IGO_10521_B_126/13660_ZNF107_INPUT2_IGO_10521_B_126_S106_R2_001.fastq.gz	CONTROL	NA	NA	NA	NA	150	NA	NA	NA	NA	0.99880	1.00943	0.99902	1100.01537	1.18221	16520762	90.31048208	18293294
EXP992047	ZNF14	READS992094,READS992095	DIANA_0293/Sample_13662_ZNF14_ChIP1_IGO_10521_B_96/13662_ZNF14_ChIP1_IGO_10521_B_96_S182_R1_001.fastq.gz,DIANA_0293/Sample_13662_ZNF14_ChIP1_IGO_10521_B_96/13662_ZNF14_ChIP1_IGO_10521_B_96_S182_R2_001.fastq.gz	PEAKS992041	6431	847	2856	4552	205	7.61E-03	3.03E-03	1.44E-02	2.64E-03	0.99756	1.05307	0.99800	549.92985	1.66259	23865840	89.9126358	26543366
EXP992048	ZNF14	READS992096,READS992097	DIANA_0293/Sample_13662_ZNF14_ChIP2_IGO_10521_B_35/13662_ZNF14_ChIP2_IGO_10521_B_35_S131_R1_001.fastq.gz,DIANA_0293/Sample_13662_ZNF14_ChIP2_IGO_10521_B_35/13662_ZNF14_ChIP2_IGO_10521_B_35_S131_R2_001.fastq.gz	PEAKS992042	114	142	111	166	180	1.10E-03	1.00E-03	1.31E-03	3.13E-04	0.99828	1.02213	0.99858	758.08435	1.80144	22466420	89.79196439	25020524
EXP992049	ZNF142	READS992098,READS992099	DIANA_0293/Sample_13663_ZNF142_ChIP1_IGO_10521_B_97/13663_ZNF142_ChIP1_IGO_10521_B_97_S183_R1_001.fastq.gz,DIANA_0293/Sample_13663_ZNF142_ChIP1_IGO_10521_B_97/13663_ZNF142_ChIP1_IGO_10521_B_97_S183_R2_001.fastq.gz	PEAKS992043	6896	3597	5142	17932	170	3.97E-02	2.26E-02	4.38E-02	1.25E-02	0.99310	1.37756	0.99521	274.64074	1.87288	15763546	80.96316481	19470022
